question_id,option_id,option_label
p11,9999,No contesta
p12,1,Le da miedo / es inseguro
p12,2,"Condiciones meteorológicas (lluvia, calor)"
p12,3,No existen lugares recreativos cerca
p12,4,Tuvo un padecimiento de salud
p12,6,Trabajó en casa
p12,7,Estudió en casa
p12,8,Tengo que cuidar a alguien
p12,9,Los traslados son costosos
p12,10,Es mi dia de descanso / vacaciones de trabajo
p12,11,Tuve visita
p12,12,No tenía a que salir
p12,13,Tuve cosas que hacer en casa
p12,14,No tengo trabajo ni dinero
p12,15,No salgo por la edad
p12,16,Hay mucho congestionamiento y el traslado es muy tardado
p12,9999,No contesta
p13,1,1
p13,2,2
p13,3,3
p13,4,4
p13,5,5
p13,6,6
p13,7,7
p13,9999,No contesta
p14,1,Monterrey
p14,2,Guadalupe
p14,3,San Nicolás de los Garza
p14,4,Apodaca
p14,5,Escobedo
p14,6,San Pedro Garza García
p14,7,Santiago
p14,8,Juárez
p14,9,García
p14,10,Santa Catarina
p14,11,Cadereyta
p14,12,Pesquería
p14,13,El Carmen
p14,14,Ciénega de Flores
p14,15,Zuazua
p14,16,Salinas Victoria
p14,17,Allende
p14,18,Agualeguas
p14,19,Allende
p14,20,Anáhuac
p14,21,Aramberri
p14,22,Cerralvo
p14,23,China
p14,24,Doctor Arroyo
p14,25,Doctor Coss
p14,26,Galeana
p14,27,General Bravo
p14,28,General Terán
p14,29,Hidalgo
p14,30,Hualahuises
p14,31,Iturbide
p14,32,Lampazos
p14,33,Linares
p14,34,Los Aldamas
p14,35,Marín
p14,36,Matehuala
p14,37,Mier y Noriega
p14,38,Mina
p14,39,Montemorelos
p14,40,Nuevo Laredo
p14,41,Sabinas Hidalgo
p14,42,Saltillo
p14,8888,No sabe
p14,9999,No contesta
p15,8888,No sabe
p15,9999,No contesta
p16,1,Pie/camina/en silla de ruedas
p16,2,"Camión, microbús"
p16,3,Taxi
p16,4,Uber u otra aplicación móvil similar
p16,5,Motocicleta
p16,6,Bicicleta
p16,7,Metro
p16,8,Automóvil/acompañante de automóvil
p16,9,Transmetro
p16,10,Ecovía
p16,11,Transporte escolar
p16,12,Transporte de trabajo
p16,13,Autobús privado (tipo Senda)
p16,14,Triciclo
p16,15,Taxi colectivo
p16,8888,No sabe
p16,9999,No contesta
p16_3,9999,No contesta
p16_4,9999,No contesta
p16_8,9999,No contesta
transporte_publico,0,No
transporte_publico,1,Sí
p17,1,La parada está lejos.
p17,2,No hay una ruta que me lleve a mi destino.
p17,3,Se tarda más tiempo que el transporte privado/ Es más rápido en auto
p17,4,El pasaje es muy caro.
p17,5,El transporte está feo/sucio
p17,6,El transporte no me deja cerca de mi destino.
p17,7,El transporte es inseguro / da miedo usarlo.
p17,8,El transporte siempre va lleno.
p17,9,"Mal servicio (choferes ebrios, groseros o que van jugando carreras)."
p17,10,Comodidad
p17,11,No es accesible para personas con discapacidad.
p17,12,"Es taxista, chofer o es su herramienta de trabajo"
p17,8888,No sabe
p17,9999,No contesta
p18_1,9999,No contesta
p18_2,9999,No contesta
tiempo_espera,9999,No contesta
p19,0,NO
p19,1,Sí
p19,9999,No contesta
p20,1,Uno
p20,2,Dos
p20,3,Tres
p20,4,Cuatro
p20,5,Cinco o Más
p20,8888,No sabe
p20,9999,No contesta
p21,8888,No sabe
p21,9999,No contesta
p22,8888,No sabe
p22,9999,No contesta
costo_total_viaje,8888,No sabe
costo_total_viaje,9999,No contesta
p23,8888,No sabe
p23,9999,No contesta
p24_1,8888,No sabe
p24_1,9999,No contesta
p24_2,8888,No sabe
p24_2,9999,No contesta
tiempo_ida,8888,No sabe
tiempo_ida,9999,No contesta
p25_1,8888,No sabe
p25_1,9999,No contesta
p25_2,8888,No sabe
p25_2,9999,No contesta
tiempo_regreso,8888,No sabe
tiempo_regreso,9999,No contesta
tiempo_total_traslado,8888,No sabe
tiempo_total_traslado,9999,No contesta
p26,0,No
p26,1,Sí
p26,9999,No contesta
p27_1,0,No
p27_1,1,Sí
p27_1,8888,No sabe
p27_1,9999,No contesta
p27_2,0,No
p27_2,1,Sí
p27_2,8888,No sabe
p27_2,9999,No contesta
p27_3,0,No
p27_3,1,Sí
p27_3,8888,No sabe
p27_3,9999,No contesta
p27_4,0,No
p27_4,1,Sí
p27_4,8888,No sabe
p27_4,9999,No contesta
p27_5,0,No
p27_5,1,Sí
p27_5,8888,No sabe
p27_5,9999,No contesta
p27_6,0,No
p27_6,1,"Sí, todas"
p27_6,2,"Sí, algunas"
p27_6,8888,No sabe
p27_6,9999,No contesta
p28_1,0,No
p28_1,1,Sí
p28_1,8888,No sabe
p28_1,9999,No contesta
p28_2,0,No
p28_2,1,Sí
p28_2,8888,No sabe
p28_2,9999,No contesta
p28_3,0,No
p28_3,1,Sí
p28_3,8888,No sabe
p28_3,9999,No contesta
p28_4,0,No
p28_4,1,Sí
p28_4,8888,No sabe
p28_4,9999,No contesta
victima_tp,0,No
victima_tp,1,Sí
p29,1,Muy baja
p29,2,Baja
p29,3,Adecuada
p29,4,Alta
p29,5,Muy alta
p29,8888,No sabe
p29,9999,No contesta
p30_1,0,NO
p30_1,1,SÍ
p30_1,8888,No sabe
p30_1,9999,No contesta
p30_2,0,NO
p30_2,1,SÍ
p30_2,8888,No sabe
p30_2,9999,No contesta
p30_3,0,NO
p30_3,1,SÍ
p30_3,8888,No sabe
p30_3,9999,No contesta
p30_4,0,NO
p30_4,1,SÍ
p30_4,8888,No sabe
p30_4,9999,No contesta
p30_5,0,NO
p30_5,1,SÍ
p30_5,8888,No sabe
p30_5,9999,No contesta
p30_6,0,NO
p30_6,1,SÍ
p30_6,8888,No sabe
p30_6,9999,No contesta
p30_7,0,NO
p30_7,1,SÍ
p30_7,8888,No sabe
p30_7,9999,No contesta
p30_8,0,NO
p30_8,1,SÍ
p30_8,8888,No sabe
p30_8,9999,No contesta
p30_9,0,NO
p30_9,1,SÍ
p30_9,8888,No sabe
p30_9,9999,No contesta
p31,1,1
p31,2,2
p31,3,3
p31,4,4
p31,5,5
p31,6,6
p31,7,7
p31,8,8
p31,9,9
p31,10,10
p31,8888,No sabe
p31,9999,No contesta
p32,1,Aumentar la cantidad de unidades de camión y destino de las rutas
p32,2,"Mejorar las condiciones del transporte existente (comodidad, limpieza, funcionamiento)"
p32,3,Aumentar la capacidad y líneas del metro
p32,4,Implementar un sistema de bicicleta pública
p32,5,Ampliar la capacidad de la ecovía
p32,6,Mejorar la seguridad en el transporte
p32,7,Otro ¿cuál?
p32,8888,No sabe
p32,9999,No contesta
p33,9999,No contesta
p34,0,No
p34,1,Sí
p34,9999,No contesta
p35,1,"Es menos seguro desplazarme (frente a los autos, tráfico)/ me da miedo ser atropellado"
p35,2,"Por la inseguridad pública (asalto, robos, acoso sexual)"
p35,3,"Infraestructura para ciclistas inexistente, deficiente a insuficiente (señalización, carriles, ciclovías, estacionamientos)"
p35,4,"Malas condiciones climatológicas (calor, lluvia, falta de sombra)"
p35,5,Mayores tiempos de traslado.
p35,6,Pocas o nulas facilidades para combinar bicicleta con el transporte público
p35,7,Las bicicletas son muy caras
p35,8,No se andar en bicicleta
p35,9,Las distancias son muy largas
p35,10,No tengo o está descompuesta
p35,11,No la necesito o no me gusta
p35,12,No puedo utilizarla por mi condición física
p35,13,"La usamos solo como diversión o ejercicio, no como medio de transporte"
p35,14,Por los perros que te corretean
p35,9999,No contesta
p36,9999,No contesta
p37,8888,No sabe
p37,9999,No contesta
p38_1,0,No
p38_1,1,Sí
p38_1,2,No hay
p38_1,8888,No sabe
p38_1,9999,No contesta
p38_2,0,No
p38_2,1,Sí
p38_2,2,No hay
p38_2,8888,No sabe
p38_2,9999,No contesta
p38_3,0,No
p38_3,1,Sí
p38_3,8888,No sabe
p38_3,9999,No contesta
p38_4,0,No
p38_4,1,Sí
p38_4,2,No hay
p38_4,8888,No sabe
p38_4,9999,No contesta
p38_5,0,No
p38_5,1,Sí
p38_5,2,No hay
p38_5,8888,No sabe
p38_5,9999,No contesta
p38_6,0,No
p38_6,1,Sí
p38_6,2,No hay
p38_6,8888,No sabe
p38_6,9999,No contesta
p38_7,0,No
p38_7,1,Sí
p38_7,2,No hay
p38_7,8888,No sabe
p38_7,9999,No contesta
p38_8,0,No
p38_8,1,Sí
p38_8,2,No hay
p38_8,8888,No sabe
p38_8,9999,No contesta
p39,1,1
p39,2,2
p39,3,3
p39,4,4
p39,5,5
p39,6,6
p39,7,7
p39,8,8
p39,9,9
p39,10,10
p39,8888,No sabe
p39,9999,No contesta
p40,1,"Transporte público: no hay rutas, son de mala calidad, el tiempo de espera es elevado."
p40,2,Congestión vehicular (Tráfico).
p40,3,"Inseguridad en el desplazamiento vial (choques entre vehículos, atropellos)"
p40,4,"Calidad de la infraestructura vial para automóviles: baches, semáforos descompuestos, deficiencias viales."
p40,5,No hay infraestructura para peatones y ciclistas.
p40,6,Cultura vial: no se conduce de acuerdo con el reglamento.
p40,7,Ninguno
p40,8,Todas las anteriores
p40,8888,No sabe
p40,9999,No contesta
p41,0,NO
p41,1,SÍ
p41,8888,No sabe
p41,9999,No contesta
p42,1,Hace menos de un año
p42,2,Hace 1-5 años
p42,3,Hace más de 5-10 años
p42,4,Hace más de 10 años
p42,5,Nunca se ha mudado de casa
p42,8888,No sabe
p42,9999,No contesta
p43,0,Nueva
p43,1,Previamente habitada
p43,8888,No sabe
p43,9999,No contesta
p44,1,"Allende, NL"
p44,2,"Apodaca, NL"
p44,3,"Abasolo, NL"
p44,4,"Cadereyta, NL"
p44,5,"Alamo, Veracruz"
p44,6,"Altamira, Tamaulipas"
p44,7,Argentina
p44,8,"Aramberri, NL"
p44,9,Burgos Tamaulipas
p44,10,"Campeche ,Campeche"
p44,11,"Coatzacoalcos, Veracruz"
p44,12,"Carvajal, SLP"
p44,13,"Ciudad Madero, Tamaulipas"
p44,14,"Ciudad Valles, Tamaulipas"
p44,15,"Ciudad Victoria, Tamaulipas"
p44,16,"Celaya, Guanajuato"
p44,17,San Luis Potosí
p44,18,"Durango, Durango"
p44,19,Cerralvo NL
p44,20,"Charcas, SLP"
p44,21,"Chiapas, Chiapas"
p44,22,"Chihuahua, Chihuahua"
p44,23,"China, NL"
p44,24,"Ciénega de Flores, NL"
p44,25,"Colima, Colima"
p44,26,"Córdoba, Veracruz"
p44,27,"Cuernavaca, Morelos"
p44,28,"Culiacán, Sinaloa"
p44,29,"Dr. Gonzalez, Nuevo León"
p44,30,Dr. Arroyo
p44,31,"Ecatepec, Estado de México"
p44,32,Estado de México
p44,33,"El Carmen, NL"
p44,34,"García, NL"
p44,35,"Escobedo, NL"
p44,36,"Roma, Texas, USA"
p44,37,Estados Unidos
p44,38,"Fresnillo, Zacatecas"
p44,39,"Galeana, Galeana"
p44,40,"García, NL"
p44,41,"Guadalajara, Jalisco"
p44,42,"Guadalupe, NL"
p44,43,"Guanajuato, Guanajuato"
p44,44,"Guasave, Sinaloa"
p44,45,"Hidalgo, NL"
p44,46,"Hidalgo, Tamaulipas"
p44,47,"Houston, Texas"
p44,48,"Iturbude, NL"
p44,49,Ixtapaluca Estado De México
p44,50,"Jalapa, Veracruz"
p44,51,"Jalapa de Méndez, Tabasco"
p44,52,"Juárez, NL"
p44,53,"Jicotepec, Puebla"
p44,54,"Ciudad Juárez, Chihuahua"
p44,55,"La Huasteca, SLP"
p44,56,"Lápazos, NL"
p44,57,"Laredo, Texas"
p44,58,"Linares, NL"
p44,59,"Las Guerras, Tamaulipas"
p44,60,Ciudad Mante
p44,61,"Marín, NL"
p44,62,"Matehuala, SLP"
p44,63,"Mérida, Yucatán"
p44,64,Ciudad de México
p44,65,"Miguel Alemán, Tamaulipas"
p44,66,"Minatitlán, Veracruz"
p44,67,"Monclova, Coahuila"
p44,68,"Montemorelos, NL"
p44,69,"Monterrey, NL"
p44,70,"Nuevo Laredo, Tamaulipas"
p44,71,Honduras
p44,72,"Ostucán, Chiapas"
p44,73,"Oaxaca, Oaxaca"
p44,74,"Pánuco, Veracruz"
p44,75,"Papantla, Veracruz"
p44,76,"Pesquería, NL"
p44,77,Otro estado
p44,78,"Poza Rica, Veracruz"
p44,79,"Ramos Arizpe, Coahuila"
p44,80,"Rayones, NL"
p44,81,"Reynosa,Tamaulipas"
p44,82,"Sabinas, Coahuila"
p44,83,"Sabinas Hidalgo, NL"
p44,84,"Salinas Victoria, NL"
p44,85,"Salinasde Hidalgo, SLP"
p44,86,Saltillo Coahuila
p44,87,"Salvatierra, Guanajuato"
p44,88,"San Pedro Garza García, NL"
p44,89,"San Andres , Zacatecas"
p44,90,San Cristibal De Las Casas Chiapas
p44,91,"San Luis Potosí, SLP"
p44,92,"Ciudad Valles, SLP"
p44,93,"San Rafael, Galeana NL"
p44,94,"San Salvador, Zacaecas"
p44,95,"Santa Catarina, NL"
p44,96,"Santiago, NL"
p44,97,"Soto La Marina, Tamaulipas"
p44,98,Tabasco
p44,99,Tamaulipas
p44,100,"Encino, Tamaulipas"
p44,101,"Tampacan,SLP"
p44,102,"Tampico Alto Jalapa, Veracruz"
p44,103,"Tampico, Tamaulipas"
p44,104,"Tantoyuca, Veracruz"
p44,105,"Tatahilcapa , Veracruz"
p44,106,"Terán, NL"
p44,107,"Tijuana, Baja California Norte"
p44,108,"Tlaxcla,Tlaxcala"
p44,109,"Torreón, Coahuila"
p44,110,"Tula Allende, Hidalgo"
p44,111,"Tuxpan, Veracruz"
p44,112,"Venado, SLP"
p44,113,"Zuazua, Zuazua"
p44,114,"San Nicolás de los Garza, NL"
p44,115,"Veracruz, Veracruz"
p44,116,Zaragoza
p44,117,"Xilitla, SLP"
p44,118,"Zacatecas, Zacatecas"
p44,119,Villa De Coss Zacatecas
p44,120,"Villagrán, Tamaulipas"
p44,121,"Consuelo, Linares"
p44,122,"Naranjal, Veracruz"
p44,123,"Zacoalco de Torres, Jalisco"
p44,124,"Toluca, Estado de México"
p44,9999,No contesta
p45,1,Compré una casa / Tener casa propia
p45,2,La renta de la casa es más barata
p45,3,Más cerca de trabajo
p45,4,Más cerca de familia/amistades
p45,5,"Tiene servicios más cerca (escuelas, parques, centros comerciales, hospitales, etc)"
p45,6,Mejor seguridad
p45,7,"Dificultad para pagar lugar anterior (subió la renta, comenzó a recibir menos ingresos)"
p45,8,Es privada
p45,9,Me pidieron desalojar / Necesitaban el lugar dónde vivía
p45,10,Me fui a vivir con mi pareja / esposo(a)
p45,11,Me quería independizar
p45,12,Una casa/departamento más grande
p45,13,Divorcio / Me separé de mi pareja
p45,15,Quería una casa más pequeña
p45,16,Puedo vender tacos aquí porque hay más gente
p45,17,Buscaba mejor nivel de vida
p45,18,Quería vivir en el área metropolitana
p45,19,Los reubicaron a esa colonia después del huracán Gilberto
p45,8888,No sabe
p45,9999,No contesta
p46_1,1,1
p46_1,2,2
p46_1,3,3
p46_1,4,4
p46_1,5,5
p46_1,6,6
p46_1,7,7
p46_1,8,8
p46_1,9,9
p46_1,10,10
p46_1,8888,No sabe
p46_1,9999,No contesta
p46_2,1,1
p46_2,2,2
p46_2,3,3
p46_2,4,4
p46_2,5,5
p46_2,6,6
p46_2,7,7
p46_2,8,8
p46_2,9,9
p46_2,10,10
p46_2,8888,No sabe
p46_2,9999,No contesta
p46_3,1,1
p46_3,2,2
p46_3,3,3
p46_3,4,4
p46_3,5,5
p46_3,6,6
p46_3,7,7
p46_3,8,8
p46_3,9,9
p46_3,10,10
p46_3,8888,No sabe
p46_3,9999,No contesta
p46_4,1,1
p46_4,2,2
p46_4,3,3
p46_4,4,4
p46_4,5,5
p46_4,6,6
p46_4,7,7
p46_4,8,8
p46_4,9,9
p46_4,10,10
p46_4,8888,No sabe
p46_4,9999,No contesta
p46_5,1,1
p46_5,2,2
p46_5,3,3
p46_5,4,4
p46_5,5,5
p46_5,6,6
p46_5,7,7
p46_5,8,8
p46_5,9,9
p46_5,10,10
p46_5,8888,No sabe
p46_5,9999,No contesta
p47,0,No
p47,1,Sí
p47,8888,No sabe
p47,9999,No contesta
p48,1,"Grandes distancias entre viviendas y servicios básicos (escuelas, farmacias, trabajo, supermercados)."
p48,2,Falta de áreas verdes o deportivas.
p48,3,Invasión de áreas naturales/montañas por construcciones.
p48,4,"Servicios públicos deficientes (luminarias, drenaje pluvial, recolección de residuos)."
p48,5,"Desarrollo de construcciones en lugares sin infraestructura básica: calles, drenaje, luminarias, banquetas."
p48,6,Viviendas abandonadas
p48,7,Obras públicas sin terminar o muy lentas
p48,8,Empresas contaminantes en el área metropolitana
p48,9,Ninguno
p48,10,Empresas contaminantes en el área metropolitana
p48,8888,No sabe
p48,9999,No contesta
p49,1,"Sí, disminución de la presión del agua"
p49,2,"Sí, cortes de agua"
p49,3,"Sí, cortes de agua y dismusión de la presión del agua"
p49,4,No ha tenido ningún problema
p49,5,Otro____
p49,8888,No sabe
p49,9999,No contesta
p50,0,Nada preocupado
p50,1,Algo preocupado
p50,2,Muy preocupado
p50,9999,No contesta
p51,1,7 días a la semana
p51,2,5 - 6 días
p51,3,3 - 4 días a la semana
p51,4,1- 2 días a la semana
p51,5,1 día cada 2 semanas
p51,6,1 día al mes
p51,7,1 día cada 2 o más meses
p51,8,No visita los parques
p51,8888,No sabe
p51,9999,No contesta
p52_1,0,NO
p52_1,1,Sí
p52_1,8888,No sabe
p52_1,9999,No contesta
p52_2,0,NO
p52_2,1,Sí
p52_2,8888,No sabe
p52_2,9999,No contesta
p52_3,0,NO
p52_3,1,Sí
p52_3,8888,No sabe
p52_3,9999,No contesta
p52_4,0,NO
p52_4,1,Sí
p52_4,8888,No sabe
p52_4,9999,No contesta
p52_5,0,NO
p52_5,1,Sí
p52_5,8888,No sabe
p52_5,9999,No contesta
p53,1,Pésima
p53,2,Mala
p53,3,Regular
p53,4,Buena
p53,5,Excelente
p53,8888,No sabe
p53,9999,No contesta
p54_1,0,NO
p54_1,1,Sí
p54_1,8888,No sabe
p54_1,9999,No contesta
p54_2,0,NO
p54_2,1,Sí
p54_2,8888,No sabe
p54_2,9999,No contesta
p54_3,0,NO
p54_3,1,Sí
p54_3,8888,No sabe
p54_3,9999,No contesta
p54_4,0,NO
p54_4,1,Sí
p54_4,8888,No sabe
p54_4,9999,No contesta
p54_5,0,NO
p54_5,1,Sí
p54_5,8888,No sabe
p54_5,9999,No contesta
p54_6,0,NO
p54_6,1,Sí
p54_6,8888,No sabe
p54_6,9999,No contesta
p55_1,0,NO
p55_1,1,Sí
p55_1,8888,No sabe
p55_1,9999,No contesta
p55_2,0,NO
p55_2,1,Sí
p55_2,8888,No sabe
p55_2,9999,No contesta
p55_3,0,NO
p55_3,1,Sí
p55_3,8888,No sabe
p55_3,9999,No contesta
p55_4,0,NO
p55_4,1,Sí
p55_4,8888,No sabe
p55_4,9999,No contesta
p56,1,No es de mi interés
p56,2,No sé cómo separarla
p56,3,"Aun cuando la separe, el camión mezcla todos los residuos"
p56,4,No me es posible separarla en casa y/o no existen puntos de reciclaje cerca de mi vivienda.
p56,5,No utilizamos mucho embases reciclables
p56,6,Las personas recolectoras se la llevan
p56,8888,No sabe
p56,9999,No contesta
p57,1,Lo deposita con el resto de los residuos
p57,2,Lo lleva a un centro de acopio o contenedor de residuos segregados
p57,3,Pasa un camión por los residuos segregados.
p57,4,Los vende
p57,5,"Lo intercambio por otros productos, descuentos o cupones"
p57,6,Los regala
p57,7,Los reutiliza
p57,8888,No sabe
p57,9999,No contesta
p58,0,NO
p58,1,Sí
p58,8888,No sabe
p58,9999,No contesta
p59,0,NO
p59,1,Sí
p59,8888,No sabe
p59,9999,No contesta
p60,0,NO
p60,1,Sí
p60,8888,No sabe
p60,9999,No contesta
p61,1,En el Río Santa Catarina se deberían realizar obras públicas de movilidad o recreación
p61,2,El Río Santa Catarina debería preservar su ecosistema natural y no recibir ninguna intervención pública
p61,8888,No sabe
p61,9999,No contesta
p62,1,Contaminación del aire
p62,2,Contaminación de agua (ríos y arroyos)
p62,3,"Falta de árboles, áreas verdes y mal estado de los ya existentes en la calle"
p62,4,Basura/escombro en las calles y en terrenos baldíos
p62,5,Escasez de agua/Desperdicio del agua
p62,6,Falta de reciclaje
p62,7,Cambio o Crisis climática
p62,8,Contaminación auditiva
p62,9,Ninguno
p62,10,Todas las anteriores
p62,8888,No sabe
p62,9999,No contesta
p63,1,Mejor
p63,2,Igual de bien
p63,3,Igual de mal
p63,4,Peor
p63,8888,No sabe
p63,9999,No contesta
p64,1,Mejor
p64,2,Igual de bien
p64,3,Igual de mal
p64,4,Peor
p64,8888,No sabe
p64,9999,No contesta
p65,1,Les alcanza bien y pueden ahorrar
p65,2,"Les alcanza justo, sin grandes dificultades"
p65,3,No les alcanza y tienen dificultades
p65,4,No les alcanza y tienen grandes dificultades
p65,8888,No Sabe
p65,9999,No Contesta
p66,1,Las empresas extranjeras contribuirán a la prosperidad económica de la ciudad.
p66,2,Las empresas extranjeras pueden traer problemas ambientales (como la escasez de agua y contaminación) o de desarrollo urbano (como las grandes distancias y los precios de las propiedades).
p66,8888,No Sabe
p66,9999,No Contesta
p67,0,NO
p67,1,Sí
p67,8888,No sabe
p67,9999,No contesta
p68_1,0,NO
p68_1,1,Sí
p68_1,8888,No sabe
p68_1,9999,No contesta
p68_2,0,NO
p68_2,1,Sí
p68_2,8888,No sabe
p68_2,9999,No contesta
p68_3,0,NO
p68_3,1,Sí
p68_3,8888,No sabe
p68_3,9999,No contesta
p68_4,0,NO
p68_4,1,Sí
p68_4,8888,No sabe
p68_4,9999,No contesta
p68_5,0,NO
p68_5,1,Sí
p68_5,8888,No sabe
p68_5,9999,No contesta
p68_6,0,NO
p68_6,1,Sí
p68_6,8888,No sabe
p68_6,9999,No contesta
p68_7,0,NO
p68_7,1,Sí
p68_7,8888,No sabe
p68_7,9999,No contesta
p68_8,0,NO
p68_8,1,Sí
p68_8,8888,No sabe
p68_8,9999,No contesta
p68_9,0,NO
p68_9,1,Sí
