q_id,q_text,q_section,q_type,q_notes
p23,En esta vivienda ¿Cuál es el gasto total por semana en gasolina?,desarrollo_sustentable,numerica,
p24,¿Cuál fue el COSTO TOTAL de su viaje principal de IDA a su destino?,desarrollo_sustentable,numerica,
p25,¿Cuál fue el COSTO TOTAL de su viaje principal de REGRESO a su casa?,desarrollo_sustentable,numerica,
p26,¿Cuál es su gasto total semanal en transporte público?,desarrollo_sustentable,numerica,
p27_1,"¿Cuánto tiempo de ida tardó en el medio que lo transportó a su destino principal (P3)? Desde que sale de su casa hasta que llega a su destino, Incluya tiempo de caminata, espera y transbordo Hrs:",desarrollo_sustentable,numerica,
p27_2,Min:,desarrollo_sustentable,numerica,
p28_1,"¿Cuánto tiempo tardó de vuelta en el medio que lo transportó a su destino principal (P3)? Incluya tiempo de caminata, espera y transbordo; desde que sale de su destino hasta que llega a su casa. Hrs:",desarrollo_sustentable,numerica,
p28_2,Min:,desarrollo_sustentable,numerica,
p29,Durante los viajes que realiza en la semana ¿para alguno utiliza la bicicleta como medio de transporte?,desarrollo_sustentable,categorica,
p30,Para quién respondió que no ¿cuál es la razón principal para no usar la bicicleta?,desarrollo_sustentable,categorica,
p31_0,"Durante los viajes que realiza en la semana ¿para alguno utiliza el transporte público (camión, microbús, ecovía, transmetro, metro) como medio de transporte?",desarrollo_sustentable,numerica,
p31,Vamos a evaluar la calidad del servicio de transporte público. Conteste las siguientes preguntas según su experiencia,desarrollo_sustentable,numerica,
p31_1,¿El tiempo de espera por unidades es siempre el mismo,desarrollo_sustentable,categorica,
p31_2,"Si necesita viajar a zonas que normalmente no visita, ¿sabe dónde consultar qué ruta lo lleva, por dónde pasa, y dónde está la parada?",desarrollo_sustentable,categorica,
p31_3,¿Se siente seguro viajando en el transporte público?,desarrollo_sustentable,categorica,
p31_4,"En su viaje, ¿regularmente puede ir sentado(a)?",desarrollo_sustentable,categorica,
p31_5,"¿Las unidades que normalmente utiliza, presentan fallas físicas o mecánicas?",desarrollo_sustentable,categorica,
p31_6,"¿Los choferes manejan en forma prudente y segura? (manejan a una velocidad adecuada, respetan los semáforos, señales de tránsito y no usan el celular cuando están manejando)",desarrollo_sustentable,categorica,
p32,En los últimos 12 meses al utilizar el transporte público ha sido victima de las siguientes situaciones:,desarrollo_sustentable,numerica,
p32_1,Le miraron morbosamente el cuerpo,desarrollo_sustentable,categorica,
p32_2,Le dijeron piropos obscenos u ofensivos de carácter sexual,desarrollo_sustentable,categorica,
p32_3,Le hicieron sentir miedo de sufrir un ataque o abuso sexual,desarrollo_sustentable,categorica,
p32_4,Le tocaron o manosearon el cuerpo sin su consentimiento,desarrollo_sustentable,categorica,
p33,Considera que la tarifa del transporte público (metro y camión) es:,desarrollo_sustentable,categorica,
p34,Las unidades del transporte público presentan las siguientes fallas:,desarrollo_sustentable,numerica,
p34_1,Asientos dañados o sucios.,desarrollo_sustentable,categorica,
p34_2,Vidrios rotos.,desarrollo_sustentable,categorica,
p34_3,Grafiti y rayones.,desarrollo_sustentable,categorica,
p34_4,"Ruidoso, escandaloso.",desarrollo_sustentable,categorica,
p34_5,Echa humo contaminante.,desarrollo_sustentable,categorica,
p34_6,Puertas o ventanas que no cierran adecuadamente.,desarrollo_sustentable,categorica,
p34_7,Timbre no funciona.,desarrollo_sustentable,categorica,
p34_8,Goteras en época de lluvia.,desarrollo_sustentable,categorica,
p34_9,Aparatos validadores de tarjeta dañados o inexistentes.,desarrollo_sustentable,categorica,
p34_10,Inadecuada iluminación en el interior de la unidad.,desarrollo_sustentable,categorica,
p35,"Tomando en cuenta las preguntas previas: Evalúe del 1 al 10 qué tan satisfecho está con el SERVICIO DE TRANSPORTE, donde 1 es lo más bajo (lo peor) y lo más alto es 10 (lo mejor).",desarrollo_sustentable,categorica,
p36_1,Cuando camina en su municipio considera que ¿Los cruces peatonales a nivel de calle están marcados y le permiten desplazarse con seguridad?,desarrollo_sustentable,categorica,
p36_2,Cuando camina en su municipio considera que ¿Las rampas para personas con discapacidad están en buen estado?,desarrollo_sustentable,categorica,
p36_3,Cuando camina en su municipio considera que ¿Las banquetas son suficientes para llegar a su destino?,desarrollo_sustentable,categorica,
p36_4,Cuando camina en su municipio considera que ¿Las banquetas son amplias para que circulen dos personas en silla de ruedas o carriolas?,desarrollo_sustentable,categorica,
p36_5,"Cuando camina en su municipio considera que ¿Las banquetas tienen obstáculos? (como cabinas telefónicas, postes, árboles, carros estacionados, negocios informales)",desarrollo_sustentable,categorica,
p36_6,Cuando camina en su municipio considera que ¿Las banquetas están dañadas?,desarrollo_sustentable,categorica,
p36_7,Cuando camina en su municipio considera que ¿Las banquetas cuentan con alumbrado adecuado y funcionando para desplazarse por la noche?,desarrollo_sustentable,categorica,
p36_8,Cuando camina en su municipio considera que ¿Las banquetas están limpias?,desarrollo_sustentable,categorica,
p37,"Del 1 al 10 ¿Cómo califica la calidad y estado de las banquetas en su municipio? Donde 1 es lo más bajo (lo peor) y 10, lo más alto (lo mejor).",desarrollo_sustentable,categorica,
p38,¿Qué aspecto considera que el gobierno debe atender de manera más urgente en el transporte público?,desarrollo_sustentable,categorica,
p39,"De acuerdo con su percepción, mencione cuál es el principal problema con el que se enfrenta cuando SE MUEVE por la ciudad",desarrollo_sustentable,categorica,
p40_1,¿Cuál de los siguientes servicios se encuentra A MENOS DE 1 kilómetro o MENOS DE 15 minutos caminando desde su domicilio/hogar?,desarrollo_sustentable,numerica,
p40_2,Parques o jardines,desarrollo_sustentable,categorica,
p40_3,Escuelas,desarrollo_sustentable,categorica,
p40_4,Trabajo (del respondiente),desarrollo_sustentable,categorica,
p40_5,Tiendas de conveniencia,desarrollo_sustentable,categorica,
p40_6,Supermercados,desarrollo_sustentable,categorica,
p40_7,Bancos,desarrollo_sustentable,categorica,
p40_8,Lugar público para ejercitarse,desarrollo_sustentable,categorica,
p40_9,Parada de transporte público,desarrollo_sustentable,categorica,
p40_10,"Lugares recreativos (cine, centro comercial, teatro)",desarrollo_sustentable,categorica,
p40_11,Lugares para comer,desarrollo_sustentable,categorica,
p40_12,Bares,desarrollo_sustentable,categorica,
p40_13,Farmacias,desarrollo_sustentable,categorica,
p40_14,Guarderías,desarrollo_sustentable,categorica,
p41,"De acuerdo con su experiencia, en su colonia, actualmente:",desarrollo_sustentable,categorica,
p42,¿Cuándo fue la última vez que se mudó de casa?,desarrollo_sustentable,categorica,
p43,(Si se mudo de casa) ¿En qué municipio y estado vivía antes?,desarrollo_sustentable,numerica,
p44,¿Cuál fue el motivo de su cambio de residencia?,desarrollo_sustentable,categorica,
p45_1,"De acuerdo con su experiencia en su municipio, qué tan satisfecho está con los siguientes servicios públicos. Evalúe, en una escala del 1 al 10, en donde 1 es ""muy malo"" y 10 ""muy bueno"".",desarrollo_sustentable,numerica,
p45_2,Condición de las calles y avenidas.,desarrollo_sustentable,categorica,
p45_3,"Parques, plazas y áreas verdes.",desarrollo_sustentable,categorica,
p45_4,Drenaje pluvial.,desarrollo_sustentable,categorica,
p45_5,Recolección de basura.,desarrollo_sustentable,categorica,
p45_6,Perros y gatos abandonados / en la calle.,desarrollo_sustentable,categorica,
p53,"En su opinión, ¿cuál es el principal problema de DESARROLLO URBANO que se vive en su municipio?",desarrollo_sustentable,categorica,
p47,¿Quién es le principal responsable de la crisis de agua?,desarrollo_sustentable,categorica,
p48,¿Consideras que el gobierno del estado ha dado una respuesta adecuada a la crisis del agua?,desarrollo_sustentable,categorica,
p49,¿Consideras que el gobierno municipal ha dado una respuesta adecuada a la crisis del agua?,desarrollo_sustentable,categorica,
p50,¿Durante los últimos 6 meses ha tenido suficiente agua con la presión necesaria para todas las labores personales y del hogar en el horario de 4 am a 11 am?,desarrollo_sustentable,categorica,
p50_1,¿Cuánto fue la mayor cantidad de días que pasaste sin agua?___,desarrollo_sustentable,numerica,
p50_2,Durante los días que no tuviste servicio ¿Recibiste agua en compensación a través de pipas u otras fuentes proporcionada por el gobierno?,desarrollo_sustentable,categorica,
p51,¿Qué tan preocupado se considera con respecto a la crisis de agua y la posibilidad de que se solucione?,desarrollo_sustentable,categorica,
p52,"¿Conoces algún programa de cultura del agua o has recibido algo de información de tu gobierno sobre cómo cuidar el agua, ya sea en televisión, en casa, en periodico o algún medio?",desarrollo_sustentable,categorica,
p54,Por lo general ¿con qué frecuencia visita los parques de su municipio?,desarrollo_sustentable,categorica,
p55,Los parques y jardines de su municipio:,desarrollo_sustentable,numerica,
p55_1,Están limpios y tienen buena imagen.,desarrollo_sustentable,categorica,
p55_2,Son seguros para usted y su familia.,desarrollo_sustentable,categorica,
p55_3,"Cuentan con espacios para hacer ejercicio (canchas, aparatos o pistas)",desarrollo_sustentable,categorica,
p55_4,"Cuentan con suficientes árboles y vegetación en el suelo bien cuidada (pasto, jardínes, plantas)",desarrollo_sustentable,categorica,
p55_5,"Cuentan con infraestructura necesaria (rampas para personas con discapacidad, bancas, bebederos, luminarias funcionando).",desarrollo_sustentable,categorica,
p56,Considera que la calidad del aire en su municipio es:,desarrollo_sustentable,categorica,
p57,"Para combatir el problema de la mala calidad del aire en el Área Metropolitana de Monterrey, usted estaría de acuerdo en:",desarrollo_sustentable,numerica,
p57_1,Implementar verificación vehicular (revisión de las emisiones contaminantes de los vehículos en circulación).,desarrollo_sustentable,categorica,
p57_2,"Implementar ""Hoy no circula"" (Programa en el que salen de circulación algunos días cada vehículo)",desarrollo_sustentable,categorica,
p57_3,Retirar de circulación a vehículos contaminantes,desarrollo_sustentable,categorica,
p57_4,Invertir más en transporte público y menos en infraestructura para el automóvil.,desarrollo_sustentable,categorica,
p57_5,"Sancionar a industrias que contaminen, aunque implique su clausura.",desarrollo_sustentable,categorica,
p57_6,Que se reduzca el espacio para el automóvil y se destine un carril exclusivo para las personas que se transportan en bicicleta,desarrollo_sustentable,categorica,
p59,"Semanalmente, ¿separan los residuos (basura) en su hogar para reciclar? por ejemplo el pet, los organicos, las latas, el vidrio",desarrollo_sustentable,categorica,
p60,(Solo en caso de que en la pregunta anterior responda No) ¿Cuál es la razón principal por la que no lo haces?,desarrollo_sustentable,categorica,
p61,En estos últimos años ¿Haz percibido un mayor aumento en la temperatura en invierno o verano?,desarrollo_sustentable,categorica,
p62,Durante momentos de altas temperaturas ¿En tu casa tienes medios suficientes como aires acondicionados y abanicos para mantener una temperatura agradable?,desarrollo_sustentable,categorica,
p63,"De acuerdo con su percepción, mencione el principal PROBLEMA AMBIENTAL que se vive en su municipio.",desarrollo_sustentable,categorica,
p64,¿Cuántos cuartos tiene la vivienda sin contar baño y cocina?,desarrollo_social_y_economico,numerica,
p65,¿Cómo describiría usted la SITUACIÓN económica DE SU HOGAR comparada con la de HACE 12 MESES ?,desarrollo_social_y_economico,categorica,
p66,¿Y cómo cree usted que será la SITUACIÓN económica DE SU HOGAR DENTRO DE 12 MESES respecto de la actual?,desarrollo_social_y_economico,categorica,
p67,"Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…",desarrollo_social_y_economico,categorica,
p68,"¿Considera que las mujeres tienen las mismas oportunidades laborales, políticas y sociales que los hombres?",desarrollo_social_y_economico,categorica,
p69,¿Cree que en Nuevo León se discrimina a la gente:,desarrollo_social_y_economico,numerica,
p69_1,por ser mujer?,desarrollo_social_y_economico,categorica,
p69_2,por ser hombre?,desarrollo_social_y_economico,categorica,
p69_3,por su embarazo?,desarrollo_social_y_economico,categorica,
p69_4,por su edad?,desarrollo_social_y_economico,categorica,
p69_5,por su nivel económico?,desarrollo_social_y_economico,categorica,
p69_6,por ser indígena?,desarrollo_social_y_economico,categorica,
p69_7,por ser persona con discapacidad?,desarrollo_social_y_economico,categorica,
p69_8,por su orientación sexual?,desarrollo_social_y_economico,categorica,
p69_9,por su color de piel?,desarrollo_social_y_economico,categorica,
p69_10,por tener algún tatuaje?,desarrollo_social_y_economico,categorica,
p69_11,por tener sobrepeso u obesidad?,desarrollo_social_y_economico,categorica,
p69_12,por tener alguna enfermedad?,desarrollo_social_y_economico,categorica,
p69_13,por ser migrante?,desarrollo_social_y_economico,categorica,
p69_14,por su identidad o expresión de género (personas trans)?,desarrollo_social_y_economico,categorica,
p69_15,Otro,desarrollo_social_y_economico,numerica,
p69_15_1,¿cuál?,desarrollo_social_y_economico,categorica,
p70,"En los últimos 12 meses, ¿considera que la cantidad de personas migrantes en el estado Nuevo León:",desarrollo_social_y_economico,categorica,
p71,Mencione si está de acuerdo con las siguientes afirmaciones:,desarrollo_social_y_economico,numerica,
p71_1,México debería admitir a más personas migrantes al país.,desarrollo_social_y_economico,categorica,
p71_2,A las personas migrantes se les debe dar la oportunidad de que consigan un empleo en Nuevo León.,desarrollo_social_y_economico,categorica,
p71_3,"Si son migrantes que se establecen en Nuevo León, se les debería proporcionar apoyos sociales.",desarrollo_social_y_economico,categorica,
p71_4,"Si son migrantes que van a Estados Unidos, se les debería proporcionar apoyo durante su estancia en el estado.",desarrollo_social_y_economico,categorica,
p71_5,El aumento de personas migrantes en el estado está relacionado con el incremento de la inseguridad que se ha observado en los últimos años.,desarrollo_social_y_economico,categorica,
p72,¿Algún médico le ha dicho que tiene diabetes (o alta el azúcar en la sangre)?,desarrollo_social_y_economico,categorica,
p72_1,¿Algún médico le ha dicho que tiene hipertensión arterial/ presión alta?,desarrollo_social_y_economico,categorica,
p72_2,¿Algún médico le ha dicho que padece de algún tipo de Cáncer durante los últimos 12 meses?,desarrollo_social_y_economico,categorica,
p72_3,¿Alguna vez se ha contagiado de Covid?,desarrollo_social_y_economico,categorica,
p73,"Durante los últimos 12 meses, ¿Tuvo algún problema de salud? (Si tuvo dos o más padecimientos, seleccionar el más reciente)",desarrollo_social_y_economico,categorica,
p73_1,¿Tuvo una consulta médica por este problema de salud?,desarrollo_social_y_economico,categorica,
p74,¿Por qué no consultó? (no leer respuestas),desarrollo_social_y_economico,categorica,
p75_1,"Si fue una enfermedad aguda, ¿se resolvió su problema? (Si la persona consultó)",desarrollo_social_y_economico,categorica,
p75_2,Si es crónica ¿Le están dando un seguimiento adecuado? (Si la persona consultó),desarrollo_social_y_economico,categorica,
p76,¿En dónde se atendió?,desarrollo_social_y_economico,categorica,
p77,Si utilizó SERVICIOS PÚBLICOS DE SALUD: ¿Qué tan común es que pueda surtir su receta completa?,desarrollo_social_y_economico,categorica,
p78,Su última visita médica en SERVICIOS PÚBLICOS DE SALUD fue:,desarrollo_social_y_economico,categorica,
p79,¿Cuántos días pasaron entre que le programaron la cita y le atendieron?,desarrollo_social_y_economico,categorica,
p80,En esta última consulta,desarrollo_social_y_economico,categorica,
p80_1,¿Cuántos minutos esperó para ser atendido?,desarrollo_social_y_economico,numerica,
p81,¿Cómo calificaría las INSTALACIONES HOSPITALARIAS?,desarrollo_social_y_economico,categorica,
p82,¿Cómo calificaría los siguientes aspectos de ATENCIÓN DE SERVICIOS DE SALUD?,desarrollo_social_y_economico,numerica,
p82_1,Trato y atención por parte del personal médico.,desarrollo_social_y_economico,categorica,
p82_2,Trato y atención de personal de enfermería y técnicos.,desarrollo_social_y_economico,categorica,
p82_3,Atención y el servicio por parte del personal administrativo.,desarrollo_social_y_economico,categorica,
p82_4,Horarios de atención.,desarrollo_social_y_economico,categorica,
p82_5,Información recibida sobre el padecimiento.,desarrollo_social_y_economico,categorica,
p83,"Tomando en cuenta las preguntas previas: Evalúe del 1 al 10 qué tan satisfecho está con el SERVICIO DE SALUD, donde 1 es lo más bajo (lo peor) y lo más alto es 10 (lo mejor).",desarrollo_social_y_economico,categorica,
p84,¿Cuál es el principal problema en el área SALUD que se vive en su municipio?,desarrollo_social_y_economico,categorica,
p85,"De acuerdo a su experiencia, en algún momento de los últimos 12 meses",desarrollo_social_y_economico,numerica,
p85_1,"Se ha percibido decaído/a, deprimido/a",desarrollo_social_y_economico,categorica,
p85_2,"Se ha sentido nervioso/a, ansioso/a o muy alterado/a (con dificultad de parar o controlar sus preocupaciones)",desarrollo_social_y_economico,categorica,
p85_3,"¿Ha tardado más de 30 minutos en poder dormir, o se despierta durante la noche o madrugada?",desarrollo_social_y_economico,categorica,
p86,"De acuerdo con su percepción, ¿Cuál es el principal problema de DESARROLLO SOCIAL que se vive en su municipio?",desarrollo_social_y_economico,categorica,
p87,¿Qué tan seguro se siente en su municipio?,seguridad_y_justicia,categorica,
p88,"En el último año, usted o algún miembro del hogar ¿ha sido víctima de algún delito?",seguridad_y_justicia,categorica,
p88_1,"¿Usted o la persona que fue víctima, denunció el delito?",seguridad_y_justicia,categorica,
p88_1_1,Si denunció: ¿El responsable del delito fue encontrado y sancionado?,seguridad_y_justicia,categorica,
p89,"¿Cómo califica la experiencia de su denuncia, del 1 al 10, en donde 1 es ""muy mala"" y 10 ""muy buena""?",seguridad_y_justicia,categorica,
p90,"(Para todos los encuestados), ¿Qué tan probable considera que los delitos denunciados sean investigados y castigados por las autoridades?",seguridad_y_justicia,categorica,
p91,En el tema de SEGURIDAD considera que:,seguridad_y_justicia,numerica,
p91_1,¿La presencia de policías en su colonia es suficiente?,seguridad_y_justicia,categorica,
p91_2,¿La policía de su colonia lo hace sentir más seguro?,seguridad_y_justicia,categorica,
p91_3,¿Confía en la policía de su colonia?,seguridad_y_justicia,categorica,
p91_4,¿El trato del policía al ciudadano es de forma respetuosa?,seguridad_y_justicia,categorica,
p91_5,¿Considera que las decisiones y actuar de la policía benefician a las personas en su colonia?,seguridad_y_justicia,categorica,
p91_6,¿La policía es justa al tomar decisiones?,seguridad_y_justicia,categorica,
p92,"¿Cómo evalúa el desempeño de los servicios de seguridad? En una escala del 1 al 10, en donde 1 es ""muy malo"" y 10 ""muy bueno""",seguridad_y_justicia,numerica,
p92_1,Policía de su Municipio y Barrio,seguridad_y_justicia,categorica,
p92_2,Fuerza Civil,seguridad_y_justicia,categorica,
p92_3,Guardia Nacional,seguridad_y_justicia,categorica,
p92_4,Ejército y Marina,seguridad_y_justicia,categorica,
p92_5,Tránsito,seguridad_y_justicia,categorica,
p93,"Durante el último año, ¿ha tenido contacto con la policía o ha requerido de ella?",seguridad_y_justicia,categorica,
p93_1,La policía cumplió con su labor.,seguridad_y_justicia,categorica,
p93_2,La policía solicitó una mordida o moche.,seguridad_y_justicia,categorica,
p93_3,"Si requirió de la policía, ¿ésta acudió al llamado?",seguridad_y_justicia,categorica,
p94,Considera que la violencia hacia las mujeres dentro de los hogares:,seguridad_y_justicia,categorica,
p95,Considera que la violencia hacia las mujeres en la vía pública:,seguridad_y_justicia,categorica,
p96,¿Está de acuerdo con las siguientes afirmaciones?,seguridad_y_justicia,numerica,
p96_1,Los piropos en la calle / transporte público hacia las mujeres son ofensivos.,seguridad_y_justicia,categorica,
p96_2,Las mujeres tienen un mayor riesgo de ser agredidas que los hombres,seguridad_y_justicia,categorica,
p96_3,Las mujeres comparten la responsabilidad de ser agredidas por su forma de vestir.,seguridad_y_justicia,categorica,
p97,¿En qué lugar se siente más inseguro(a)?,seguridad_y_justicia,categorica,
p98,¿Qué autoridad es la principal responsable de investigar y perseguir los delitos en Nuevo León,seguridad_y_justicia,numerica,
p99,"La Fiscalía General de Justicia es la responsable de investigar y perseguir los delitos en Nuevo León, en términos generales: ¿Aprueba o desaprueba el trabajo realizado por el titular de la fiscalía: Gustavo Adolfo Guerrero?",seguridad_y_justicia,categorica,
p100,¿Considera que el consumo de drogas en la calle ha incrementado en los últimos 12 meses?,seguridad_y_justicia,categorica,
p101,"De acuerdo con su percepción, ¿Mencione cuál es el principal problema de SEGURIDAD que se vive en su municipio?",seguridad_y_justicia,categorica,
p102,¿Cuál es el medio por el que más se entera de los temas de interés público y todo lo relacionado con gobierno?,gobierno,categorica,
p102_1,"Si contestó redes sociales, ¿cuál?",gobierno,categorica,
p102_2,Si respondió que no se entera en la pregunta anterior ¿por qué no lo hace?,gobierno,categorica,
p103,¿Considera que el gobierno de (Nombre de alcalde) ha hecho un buen uso de los recursos públicos?,gobierno,categorica,
p104,"La corrupción consiste en el abuso de poder para beneficio propio ya sea en el sector público o en el privado. En su opinión, en el estado de Nuevo León la corrupción es una práctica:",gobierno,categorica,
p105,¿Usted o algún conocido o familiar experimentó algún acto de corrupción en algún trámite o contacto con la autoridad durante los últimos 12 meses?,gobierno,categorica,
p106,(Para quién respondió que sí) ¿Qué tipo de trámite o contacto fué?,gobierno,categorica,
p107,"En su opinión, en su municipio la corrupción es una práctica:",gobierno,categorica,
p108,¿Quién es más corrupto?,gobierno,categorica,
p109,En su opinión: ¿cuál es el principal problema que enfrenta la ciudadanía PARA CONFIAR EN SU GOBIERNO?,gobierno,categorica,
p110,Considera que (Nombre de ALCALDE/ALCALDESA):,gobierno,numerica,
p110_1,¿Es un gobernante honesto(a)?,gobierno,categorica,
p110_2,¿Es capaz de resolver los problemas del municipio?,gobierno,categorica,
p110_3,¿Cuenta con un equipo capacitado?,gobierno,categorica,
p110_4,¿Ha cumplido con sus promesas de campaña/compromisos?,gobierno,categorica,
p111,Usted considera que (Nombre de ALCALDE/ALCALDESA) toma la mayoría de sus decisiones (elegir una de las opciones mencionadas),gobierno,categorica,
p112,"En términos generales, ¿aprueba o desaprueba el trabajo que ha hecho Nombre de ALCALDE/ALCALDESA)?",gobierno,categorica,
p113,"En términos generales, considera que hoy, comparado con hace 1 año, este municipio:",gobierno,categorica,
p114,"Para usted, en este primer año, el gobierno de NOMBRE DE ALCALDE ha sido:",gobierno,categorica,
p115,Considera que Samuel García,gobierno,numerica,
p115_1,¿Es un gobernante honesto?,gobierno,categorica,
p115_2,¿Es capaz de resolver los problemas del Estado?,gobierno,categorica,
p115_3,¿Cuenta con un equipo capacitado?,gobierno,categorica,
p115_4,¿Ha cumplido con sus promesas de campaña/compromisos?,gobierno,categorica,
p116,Usted considera que Samuel García toma la mayoría de sus decisiones (elegir una):,gobierno,categorica,
p117,"En términos generales, ¿aprueba o desaprueba el trabajo que ha hecho Samuel García?",gobierno,categorica,
p118,"Para usted, en este primer año, el gobierno de Samuel García ha sido:",gobierno,categorica,
p119,¿Cuánto considera que los ciudadanos pueden influir en las decisiones del gobierno?,gobierno,categorica,
