concept_id,label,tipos,y2023,y2024,y2025,n,score,multi,opts,confianza,accion_sugerida,aprobar,text_2023,text_2024,text_2025
c132,aparatos validadores de tarjeta danados o inexis,categorica,p30_9,p33_9,p36_7,3,1.0,,match,ALTO,comparable,,Aparatos validadores de tarjeta dañados o inexistentes. (Si ,P 33 9 Aparatos validadores de tarjeta dañados o inexistente,Aparatos validadores de tarjeta dañados o inexistentes. (Si 
c135,cuantas bicicletas hay en el hogar,numerica,p33,p36,p46,3,1.0,,na,ALTO,comparable,,¿Cuántas bicicletas hay en el hogar?,P 36 ¿Cuántas bicicletas hay en el hogar?,¿Cuántas bicicletas hay en el hogar?
c136,durante los viajes que realiza en la semana para,categorica,p34,p37,p47,3,1.0,,match,ALTO,comparable,,Durante los viajes que realiza en la semana ¿para alguno uti,P 37 Durante los viajes que realiza en la semana ¿para algun,Durante los viajes que realiza en la semana ¿para alguno uti
c138,cuantos vehiculos de motor autos y camionetas ha,numerica,p36,p39,p49,3,1.0,,na,ALTO,comparable,,¿Cuántos vehículos de motor (autos y camionetas) hay en el h,¿Cuántos vehículos de motor (autos y camionetas) hay en el h,¿Cuántos vehículos de motor (autos y camionetas) hay en el h
c139,en esta vivienda cual es el gasto total por sema,numerica,p37,p40,p50,3,1.0,,na,ALTO,comparable,,En esta vivienda ¿Cuál es el gasto total por semana en gasol,En esta vivienda ¿Cuál es el gasto total por semana en gasol,En esta vivienda ¿Cuál es el gasto total por semana en gasol
c166,por lo general con que frecuencia visita los par,categorica,p51,p60,p70,3,1.0,,match,ALTO,comparable,,Por lo general ¿con qué frecuencia visita los parques de su ,P 60 Por lo general ¿con qué frecuencia visita los parques d,Por lo general ¿con qué frecuencia visita los parques de su 
c167,estan limpios y tienen buena imagen,categorica,p52_1,p61_1,p71_1,3,1.0,,match,ALTO,comparable,,Están limpios y tienen buena imagen.,P 61 1 Están limpios y tienen buena imagen.,¿Están limpios y tienen buena imagen?
c169,cuentan con espacios para hacer ejercicio cancha,categorica,p52_3,p61_3,p71_3,3,1.0,,match,ALTO,comparable,,"Cuentan con espacios para hacer ejercicio (canchas, aparatos","P 61 3 Cuentan con espacios para hacer ejercicio (canchas, a","¿Cuentan con espacios para hacer ejercicio (canchas, aparato"
c187,cuantos dias a la semana trabaja,numerica,p6,p6,p4,3,1.0,,na,ALTO,comparable,,¿Cuántos días a la semana trabaja?:,P 6 ¿Cuántos días a la semana trabaja?:,¿Cuántos días a la semana trabaja?:
c192,y como cree usted que sera la situacion economic,categorica,p64,p74,p87,3,1.0,,match,ALTO,comparable,,¿Y cómo cree usted que será la SITUACIÓN económica DE SU HOG,P 74 ¿Y cómo cree usted que será la SITUACIÓN económica DE S,¿Y cómo cree usted que será la SITUACIÓN económica DE SU HOG
c193,con el total del ingreso del hogar diria usted q,categorica,p65,p75,p88,3,1.0,,match,ALTO,comparable,,"Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…","P 75 Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…","Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…"
c197,por su forma de vestir o arreglo personal tatuaj,categorica,p68_10,p77_10,p89_10,3,1.0,,match,ALTO,comparable,,"por su forma de vestir o arreglo personal (tatuajes, ropa, f","P 77 10 por su forma de vestir o arreglo personal (tatuajes,","por su forma de vestir o arreglo personal (tatuajes, ropa, f"
c198,por tener sobrepeso u obesidad,categorica,p68_11,p77_11,p89_11,3,1.0,,match,ALTO,comparable,,por tener sobrepeso u obesidad?,P 77 11 por tener sobrepeso u obesidad?,por tener sobrepeso u obesidad?
c199,por tener alguna enfermedad,categorica,p68_12,p77_12,p89_12,3,1.0,,match,ALTO,comparable,,por tener alguna enfermedad?,P 77 12 por tener alguna enfermedad?,por tener alguna enfermedad?
c200,por ser migrante,categorica,p68_13,p77_13,p89_13,3,1.0,,match,ALTO,comparable,,por ser migrante?,P 77 13 por ser migrante?,por ser migrante?
c201,por su identidad o expresion de genero personas ,categorica,p68_14,p77_14,p89_14,3,1.0,,match,ALTO,comparable,,por su identidad o expresión de género (personas trans y no ,P 77 14 por su identidad o expresión de género (personas tra,por su identidad o expresión de género (personas trans y no 
c202,por haber estado en la carcel,categorica,p68_15,p77_15,p89_15,3,1.0,,match,ALTO,comparable,,por haber estado en la cárcel?,P 77 15 por haber estado en la cárcel?,por haber estado en la cárcel?
c205,por estar en situacion de calle,categorica,p68_2,p77_2,p89_2,3,1.0,,match,ALTO,comparable,,por estar en situación de calle?,P 77 2 por estar en situación de calle?,por estar en situación de calle?
c207,por su edad,categorica,p68_4,p77_4,p89_4,3,1.0,,match,ALTO,comparable,,por su edad?,P 77 4 por su edad?,por su edad?
c208,por su nivel economico,categorica,p68_5,p77_5,p89_5,3,1.0,,match,ALTO,comparable,,por su nivel económico?,P 77 5 por su nivel económico?,por su nivel económico?
c209,por su origen etnico indigena afrodescendiente e,categorica,p68_6,p77_6,p89_6,3,1.0,,match,ALTO,comparable,,"Por su origen étnico (indígena, afrodescendiente, etc)","P 77 6 por su origen étnico (indígena, afrodescendiente, etc","por su origen étnico (indígena, afrodescendiente, etc)"
c210,por ser persona con discapacidad,categorica,p68_7,p77_7,p89_7,3,1.0,,match,ALTO,comparable,,por ser persona con discapacidad?,P 77 7 por ser persona con discapacidad?,por ser persona con discapacidad?
c212,por su color de piel,categorica,p68_9,p77_9,p89_9,3,1.0,,match,ALTO,comparable,,por su color de piel?,P 77 9 por su color de piel?,por su color de piel?
c214,mexico deberia admitir a mas personas migrantes ,categorica,p70_1,p79_1,p90_1,3,1.0,,match,ALTO,comparable,,México debería admitir a más personas migrantes al país.,México debería admitir a más personas migrantes al país.,México debería admitir a más personas migrantes al país.
c230,fondo de ahorro para el retiro,categorica,p7_4,p7_4,p5_4,3,1.0,,match,ALTO,comparable,,Fondo de ahorro para el retiro,P 7 4 Fondo de ahorro para el retiro,Fondo de ahorro para el retiro
c231,aguinaldo,categorica,p7_5,p7_5,p5_5,3,1.0,,match,ALTO,comparable,,Aguinaldo,P 7 5 Aguinaldo,Aguinaldo
c232,bonos de despensa,categorica,p7_6,p7_6,p5_6,3,1.0,,match,ALTO,comparable,,Bonos de despensa,P 7 6 Bonos de despensa,Bonos de despensa
c236,en esta ultima consulta,categorica,p85,p91,p102,3,1.0,,match,ALTO,comparable,,En esta última consulta,P 91 En esta última consulta,En esta última consulta
c242,atencion y el servicio por parte del personal ad,categorica,p88_3,p94_3,p105_2,3,1.0,,match,ALTO,comparable,,Atención y el servicio por parte del personal administrativo,Atención y el servicio por parte del personal administrativo,Atención y el servicio por parte del personal administrativo
c243,horarios de atencion,categorica,p88_4,p94_4,p105_3,3,1.0,,match,ALTO,comparable,,Horarios de atención.,P 94 4 Horarios de atención.,Horarios de atención.
c244,informacion recibida sobre el padecimiento,categorica,p88_5,p94_5,p105_4,3,1.0,,match,ALTO,comparable,,Información recibida sobre el padecimiento.,P 94 5 Información recibida sobre el padecimiento.,Información recibida sobre el padecimiento.
c249,se ha sentido decaido a deprimido a,categorica,p91_1,p96_1,p107_1,3,1.0,,match,ALTO,comparable,,"Se ha sentido decaído/a, deprimido/a","P 96 1 Se ha sentido decaído/a, deprimido/a","Se ha sentido decaído/a, deprimido/a"
c250,se ha sentido nervioso a ansioso a o muy alterad,categorica,p91_2,p96_2,p107_2,3,1.0,,match,ALTO,comparable,,"Se ha sentido nervioso/a, ansioso/a o muy alterado/a (con di","P 96 2 Se ha sentido nervioso/a, ansioso/a o muy alterado/a ","Se ha sentido nervioso/a, ansioso/a o muy alterado/a (con di"
c251,ha tardado mas de 30 minutos en poder dormir o s,categorica,p91_3,p96_3,p107_3,3,1.0,,match,ALTO,comparable,,"¿Ha tardado más de 30 minutos en poder dormir, o se despiert","P 96 3 ¿Ha tardado más de 30 minutos en poder dormir, o se d","¿Ha tardado más de 30 minutos en poder dormir, o se despiert"
c043,las mujeres comparten la responsabilidad con sus,categorica,p107_3,p115_3,p126_3,3,0.96,,match,ALTO,comparable,,Las mujeres comparten la responsabilidad con sus victimarios,3 Las mujeres comparten la responsabilidad con sus victimari,Las mujeres comparten la responsabilidad con sus victimarios
c117,los choferes manejan en forma prudente y segura ,categorica,p27_5,p31_5,p32_5,3,0.96,,match,ALTO,comparable,,¿Los choferes manejan en forma prudente y segura? (manejan a,¿Los choferes manejan en forma prudente y segura? (manejan a,¿Los choferes regularmente manejan en forma prudente y segur
c042,las mujeres tienen un mayor riesgo de ser agredi,categorica,p107_2,p115_2,p126_2,3,0.95,,match,ALTO,comparable,,Las mujeres tienen un mayor riesgo de ser agredidas que los ,2 Las mujeres tienen un mayor riesgo de ser agredidas que lo,Las mujeres tienen un mayor riesgo de ser agredidas que los 
c066,usted considera que de alcalde alcaldesa toma la,categorica,p125,p136,p144,3,0.94,,match,ALTO,comparable,,Usted considera que (Nombre de ALCALDE/ALCALDESA) toma la ma,Usted considera que (Nombre de ALCALDE/ALCALDESA) tomó la ma,Usted considera que (Nombre de ALCALDE/ALCALDESA) toma la ma
c171,cuentan con infraestructura necesaria rampas par,categorica,p52_5,p61_5,p71_5,3,0.94,,match,ALTO,comparable,,Cuentan con infraestructura necesaria (rampas para personas ,Cuentan con infraestructura necesaria (rampas para personas ,¿Cuentan con infraestructura necesaria (rampas para personas
c115,se siente seguro viajando en el transporte publi,categorica,p27_3,p31_3,p32_3,3,0.93,,match,ALTO,comparable,,¿Se siente seguro viajando en el transporte público?,P 31 3 ¿Se siente seguro(a) viajando en el transporte públic,¿Se siente seguro(a) viajando en el transporte público?
c080,en terminos generales aprueba o desaprueba el tr,categorica,p137,p146,p152,3,0.9,,match,ALTO,comparable,,"En términos generales, ¿aprueba o desaprueba el trabajo que ","En términos generales, ¿aprueba o desaprueba el trabajo que ","En términos generales, ¿aprueba o desaprueba el trabajo que "
c102,realizo algun transbordo en su viaje de ida camb,categorica,p19,p21,p22,3,0.9,,match,ALTO,comparable,,"""¿Realizó algún transbordo en su viaje de ida? (Cambio de un",¿Realizó algún transbordo en su viaje de ida a su destino pr,¿Realizó algún transbordo en su viaje de ida a su destino pr
c161,en su colonia existen perros o gatos abandonados,categorica,p47,p53,p63,3,0.89,,match,ALTO,comparable,,¿En su colonia existen perros o gatos abandonados / en la ca,P 53 ¿En su colonia existen perros o gatos abandonados / en ,¿En su colonia existen perros o gatos en la calle o abandona
c067,en terminos generales aprueba o desaprueba el tr,categorica,p126,p137,p145,3,0.88,,match,ALTO,comparable,,"En términos generales, ¿aprueba o desaprueba el trabajo que ","P 137 En términos generales, ¿aprueba o desaprueba el trabaj","En términos generales, ¿aprueba o desaprueba el trabajo que "
c055,la corrupcion consiste en el abuso de poder para,categorica,p118,p127,p135,3,0.87,,match,ALTO,comparable,,La corrupción consiste en el abuso de poder para beneficio p,La corrupción consiste en el abuso de poder para beneficio p,La corrupción consiste en el abuso de poder para beneficio p
c063,es capaz de resolver los problemas del municipio,categorica,p124_2,p132_2,p140,3,0.87,,match,ALTO,comparable,,¿Es capaz de resolver los problemas del municipio?,P 132 2 ¿Fue capaz de resolver los problemas del municipio?,¿Es capaz de resolver los problemas del municipio?
c170,cuentan con suficientes arboles y vegetacion en ,categorica,p52_4,p61_4,p71_4,3,0.86,,match,ALTO,comparable,,Cuentan con suficientes árboles y vegetación en el suelo bie,Cuentan con suficientes árboles que brinden sombra y vegetac,¿Cuentan con suficientes árboles que brinden sombra y vegeta
c008,en caso de responder si al menos para un estudia,categorica,cp13,cp13,,2,1.0,,match,ALTO,comparable,,En caso de responder SÍ al menos para un estudiante del hoga,"En caso de responder ""Sí"" al menos para un estudiante del ho",
c013,secundaria,categorica,cp16_2,cp17_2,,2,1.0,,match,ALTO,comparable,,Secundaria,CP 17 2 Secundaria,
c014,media superior preparatoria bachillerato,categorica,cp16_3,cp17_3,,2,1.0,,match,ALTO,comparable,,"Media Superior (Preparatoria, bachillerato)","CP 17 3 Media Superior (Preparatoria, bachillerato)",
c034,durante el ultimo ano ha tenido contacto con la ,categorica,p102,p110,,2,1.0,,match,ALTO,comparable,,"Durante el último año, ¿ha tenido contacto con la policía o ","P 110 Durante el último año, ¿ha tenido contacto con la poli",
c035,si respondio que si a la pregunta anterior con q,categorica,p103,p111,,2,1.0,,match,ALTO,comparable,,"Si respondió que sí a la pregunta anterior, ¿con qué institu","P 111 Si respondió que sí a la pregunta anterior, ¿con qué i",
c036,la policia cumplio con su labor,categorica,p104_1,p112_1,,2,1.0,,match,ALTO,comparable,,La policía cumplió con su labor.,P 112 1 La policía cumplió con su labor.,
c040,considera que la violencia hacia las mujeres en ,categorica,p106,p114,,2,1.0,,match,ALTO,comparable,,Considera que la violencia hacia las mujeres en la vía públi,Considera que la violencia hacia las mujeres en la vía públi,
c075,para usted el gobierno de samuel garcia ha sido,categorica,p130,p145,,2,1.0,,match,ALTO,comparable,,"Para usted, el gobierno de Samuel García ha sido:","Para usted, el gobierno de Samuel García ha sido:",
c082,otra especificar,categorica,p139_10,p157__10,,2,1.0,,match,ALTO,comparable,,Otra. Especificar,P 157 10 Otra. Especificar,
c104,cuantos transbordos realizo en su viaje de ida,categorica,p20,,p23,2,1.0,,match,ALTO,comparable,,¿Cuántos transbordos realizó en su viaje de ida?,,¿Cuántos transbordos realizó en su viaje de ida?
c107,cual es su gasto total semanal en transporte pub,numerica,p23,p25,,2,1.0,,na,ALTO,comparable,,¿Cuál es su gasto total semanal en transporte público?,P 25 ¿Cuál es su gasto total semanal en transporte público?,
c110,cuanto tiempo tardo de vuelta en el medio que lo,numerica,p25_1,p27_1,,2,1.0,,na,ALTO,comparable,,¿Cuánto tiempo tardó de vuelta en el medio que lo transportó,¿Cuánto tiempo tardó de vuelta en el medio que lo transportó,
c126,grafiti y rayones,categorica,p30_3,p33_3,,2,1.0,,match,ALTO,comparable,,Grafiti y rayones.,P 33 3 Grafiti y rayones.,
c127,ruidoso escandaloso,categorica,p30_4,p33_4,,2,1.0,,match,ALTO,comparable,,"Ruidoso, escandaloso.","P 33 4 Ruidoso, escandaloso.",
c151,considera que en su colonia existe un problema d,categorica,p41,p46,,2,1.0,,match,ALTO,comparable,,¿Considera que en su colonia existe un problema de viviendas,P 46 ¿Considera que en su colonia existe un problema de vivi,
c153,solo para quienes responden 1 y 2 la vivienda a ,categorica,p43,p48,,2,1.0,,match,ALTO,comparable,,Solo para quienes responden 1 y 2. La vivienda a la que se m,P 48 Solo para quienes responden 1 y 2. La vivienda a la que,
c164,cuantas horas trabaja al dia considerando hora d,numerica,p5,,p3_1,2,1.0,,na,ALTO,comparable,,¿Cuántas horas trabaja al día (considerando hora de comida)?,,¿Cuántas horas trabaja al día (considerando hora de comida)?
c168,son seguros para usted y su familia,categorica,p52_2,,p71_2,2,1.0,,match,ALTO,comparable,,Son seguros para usted y su familia.,,¿Son seguros para usted y su familia?
c173,implementar verificacion vehicular revision de l,categorica,p54_1,p63_1,,2,1.0,,match,ALTO,comparable,,Implementar verificación vehicular (revisión de las emisione,P 63 1 Implementar verificación vehicular (revisión de las e,
c174,implementar hoy no circula programa en el que sa,categorica,p54_2,p63_2,,2,1.0,,match,ALTO,comparable,,"Implementar ""Hoy no circula"" (Programa en el que salen de ci","P 63 2 Implementar ""Hoy no circula"" (Programa en el que sale",
c175,retirar de circulacion a vehiculos contaminantes,categorica,p54_3,p63_3,,2,1.0,,match,ALTO,comparable,,Retirar de circulación a vehículos contaminantes,P 63 3 Retirar de circulación a vehículos contaminantes,
c176,invertir mas en transporte publico y menos en in,categorica,p54_4,p63_4,,2,1.0,,match,ALTO,comparable,,Invertir más en transporte público y menos en infraestructur,P 63 4 Invertir más en transporte público y menos en infraes,
c177,sancionar a industrias que contaminen aunque imp,categorica,p54_5,p63_5,,2,1.0,,match,ALTO,comparable,,"Sancionar a industrias que contaminen, aunque implique su cl","P 63 5 Sancionar a industrias que contaminen, aunque impliqu",
c206,por su embarazo,categorica,p68_3,p77_3,,2,1.0,,match,ALTO,comparable,,por su embarazo?,P 77 3 por su embarazo?,
c213,en los ultimos 12 meses considera que la cantida,categorica,p69,p78,,2,1.0,,match,ALTO,comparable,,"En los últimos 12 meses, ¿considera que la cantidad de perso","P 78 En los últimos 12 meses, ¿considera que la cantidad de ",
c217,el aumento de personas migrantes en el estado es,categorica,p70_4,p79_3,,2,1.0,,match,ALTO,comparable,,El aumento de personas migrantes en el estado está relaciona,El aumento de personas migrantes en el estado está relaciona,
c221,considera que tiene sobrepeso u obesidad,categorica,p74,p80,,2,1.0,,match,ALTO,comparable,,¿Considera que tiene sobrepeso u obesidad?,P 80 ¿Considera que tiene sobrepeso u obesidad?,
