concept_id,label,accion,tipos,y2023,y2024,y2025,n,score,opts,multi,t23,t24,t25
c037,la policia solicito una mordida o moche,revisar,categorica,p104_2,p112_2,p124_2,3,0.68,code_diff,,La policía solicitó una mordida o moche.,P 112 2 La policía solicitó una mordida o moche.,"La policía solicitó, puso las condiciones o insinuó "
c041,los piropos en la calle transporte publico hacia las,revisar,categorica,p107_1,p115_1,p126_1,3,0.69,match,,Los piropos en la calle / transporte público hacia l,¿Está de acuerdo con las siguientes afirmaciones? 1 ,Los piropos en la calle / transporte público hacia l
c046,si respondio c compras que tipo de compras realizo,revisar,categorica,p11,p14,p13,3,0.66,code_partial,,"Si respondió C Compras, ¿qué tipo de compras realizó","Si respondió C Compras, ¿qué tipo de compras realizó",¿Qué tipo de compras realizó?
c048,de acuerdo con su percepcion mencione cual es el pri,revisar,categorica,p111,p116,p127,3,0.77,code_partial,,"De acuerdo con su percepción, ¿Mencione cuál es el p","De acuerdo con su percepción, ¿Mencione cuál es el p","De acuerdo con su percepción, ¿Mencione cuál es el p"
c053,considera que el gobierno de de alcalde ha hecho un ,revisar,categorica,p116,p125,p133,3,0.67,match,,¿Considera que el gobierno de (Nombre de alcalde) ha,¿Considera que el gobierno de (Nombre de alcalde) hi,¿Considera que el gobierno de (NOMBRE DEL ALCALDE) h
c054,considera que el gobierno de samuel garcia ha hecho ,revisar,categorica,p117,p126,p134,3,0.78,match,,¿Considera que el gobierno de Samuel García ha hecho,¿Considera que el gobierno de Samuel García ha hecho,¿Considera que el gobierno de Samuel García ha hecho
c059,para quien respondio que si que tipo de tramite o co,revisar,categorica,p121,p130,p138,3,0.67,code_partial,,(Para quién respondió que sí) ¿Qué tipo de trámite o,P 130 (Para quién respondió que sí) ¿Qué tipo de trá,¿Qué tipo de trámite o contacto fué?
c074,cuantas veces a la semana se dirige a este destino,revisar,categorica/numerica,p13,p15,p14,3,0.68,match,,¿Cuántas veces a la semana se dirige a este destino?,¿Cuántas veces a la semana se traslada por este moti,¿Cuántas veces a la semana se traslada por este moti
c078,cuanto considera que los ciudadanos pueden influir e,revisar,categorica,p135,p155,p159,3,0.7,match,,¿Cuánto considera que los ciudadanos pueden influir ,P 155 ¿Cuánto considera que los ciudadanos pueden in,De acuerdo con la siguiente escala ¿Cuánto considera
c079,cuanto considera que los ciudadanos pueden influir e,revisar,categorica,p136,p156,p160,3,0.8,match,,¿Cuánto considera que los ciudadanos pueden influir ,P 156 ¿Cuánto considera que los ciudadanos pueden in,De acuerdo con la siguiente escala ¿Cuánto considera
c091,para su principal motivo de traslado que nos mencion,revisar,categorica/numerica,p14,p17,p15;p16,3,0.84,code_diff,SÍ,Para su principal motivo de traslado que nos mencion,P 17 Para su principal motivo de traslado que nos me,Para su principal motivo de traslado que nos mencion
c092,la direccion y municipio en su credencial de elector,revisar,categorica,p141_1,p160,p164,3,0.76,match,,¿La dirección y municipio en su credencial de electo,1 ¿El municipio en su credencial de elector (INE) es,¿El municipio en su credencial de elector (INE) es e
c094,para concluir en que ambito esta el principal proble,revisar,categorica,p143,p162,p165,3,0.74,relabel?,,Para concluir: ¿En qué ámbito está el PRINCIPAL PROB,Para concluir: ¿En qué ámbito está el PRINCIPAL PROB,Para concluir: ¿En qué ámbito está el PRINCIPAL PROB
c099,si contesto 3 taxi 4 uber 5 motocicleta 8 automovil ,revisar,categorica,p17,p19,,2,0.8,relabel?,,"Si contestó 3: Taxi, 4: Uber, 5: Motocicleta, 8: Aut",Si contestó 3: Taxi 4: Uber 5: Motocicleta 8: Automó,
c112,durante los viajes que realiza en la semana para alg,revisar,categorica,p26,p28,p29,3,0.72,match,,Durante los viajes que realiza en la semana ¿para al,Solo para quienes respondieron que NO utilizaron tra,Durante los viajes que realiza en la semana ¿para al
c123,considera que la tarifa del transporte publico metro,revisar,categorica,p29,p32,p33,3,0.55,match,,Considera que la tarifa del transporte público (metr,P 32 Considera que la tarifa del transporte público ,"De acuerdo con la siguiente escala, considera que la"
c133,tomando en cuenta las preguntas previas evalue del 1,revisar,categorica/numerica,p31,p35,p40,3,0.97,match,,Tomando en cuenta las preguntas previas: Evalúe del ,Tomando en cuenta las preguntas previas: Evalúe del ,Tomando en cuenta las preguntas previas: Evalúe del 
c141,cuando camina en este municipio considera que las ra,revisar,categorica,p38_2,p43_2,p44_2,3,0.68,relabel?,,Cuando camina en este municipio considera que ¿Las r,P 43 2 ¿Las rampas para personas con discapacidad es,¿Las rampas para personas con discapacidad están en 
c143,cuando camina en este municipio considera que las ba,revisar,categorica,p38_4,p43_4,p44_4,3,0.77,relabel?,,Cuando camina en este municipio considera que ¿Las b,P 43 4 ¿Las banquetas son amplias para que circulen ,¿Las banquetas son amplias para que circulen dos per
c144,cuando camina en este municipio considera que las ba,revisar,categorica,p38_5,p43_5,p44_5,3,0.74,relabel?,,Cuando camina en este municipio considera que ¿Las b,¿Las banquetas tienen obstáculos? (como cabinas tele,¿Las banquetas tienen obstáculos? (como cabinas tele
c146,cuando camina en su municipio considera que las banq,revisar,categorica,p38_7,p43_7,,2,0.73,relabel?,,Cuando camina en su municipio considera que ¿Las ban,P 43 7 ¿Las banquetas cuentan con alumbrado adecuado,
c148,del 1 al 10 como califica la calidad y estado de las,revisar,categorica/numerica,p39,p44,p45,3,1.0,match,,Del 1 al 10 ¿Cómo califica la calidad y estado de la,Del 1 al 10 ¿Cómo califica la calidad y estado de la,Del 1 al 10 ¿Cómo califica la calidad y estado de la
c150,de acuerdo con su percepcion mencione cual es el pri,revisar,categorica,p40,p45,p51,3,0.79,code_partial,,"De acuerdo con su percepción, mencione cuál es el pr","De acuerdo con su percepción, mencione cuál es el pr","De acuerdo con su percepción, mencione cuál es el pr"
c154,si se mudo de casa en que municipio y estado vivia a,revisar,categorica,p44,p49,p56,3,0.69,code_diff,,(Si se mudo de casa) ¿En qué municipio y estado viví,P 49 ¿En qué municipio y estado vivía antes?,¿En qué municipio y estado vivía antes?
c156,alumbrado publico,revisar,categorica/numerica,p46_1,p52_1,p62_1,3,1.0,match,,Alumbrado público.,P 52 1 Alumbrado público.,Alumbrado público.
c157,condicion de las calles y avenidas,revisar,categorica/numerica,p46_2,p52_2,p62_2,3,1.0,match,,Condición de las calles y avenidas.,P 52 2 Condición de las calles y avenidas.,Condición de las calles y avenidas.
c158,parques plazas y areas verdes,revisar,categorica/numerica,p46_3,p52_3,p62_3,3,1.0,match,,"Parques, plazas y áreas verdes.","P 52 3 Parques, plazas y áreas verdes.","Parques, plazas y áreas verdes."
c159,drenaje pluvial,revisar,categorica/numerica,p46_4,p52_4,p62_4,3,1.0,match,,Drenaje pluvial.,P 52 4 Drenaje pluvial.,Drenaje pluvial.
c160,recoleccion de basura,revisar,categorica/numerica,p46_5,p52_5,p62_5,3,1.0,match,,Recolección de basura.,P 52 5 Recolección de basura.,Recolección de basura.
c162,en su opinion cual es el principal problema de desar,revisar,categorica,p48,p54,p65,3,0.75,code_diff,,"En su opinión, ¿cuál es el principal problema de DES","P 54 En su opinión, ¿cuál es el principal problema d","En su opinión, ¿cuál es el principal problema de DES"
c178,que se reduzca el espacio para el automovil y se des,revisar,categorica,p54_6,p63_6,,2,0.69,match,,Que se reduzca el espacio para el automóvil y se des,P 63 6 Que se reduzca el espacio para el automóvil y,
c184,si respondio que si en al menos un inciso que hace c,revisar,categorica,p57,p67,p80,3,0.47,code_partial,,"Si respondió que sí en al menos un inciso, ¿qué hace","Si respondió que sí, ¿qué hace con los residuos segr",¿Qué hace con los residuos separados?
c190,de acuerdo con su percepcion mencione el principal p,revisar,categorica,p62,p72,p85,3,0.75,code_partial,,"De acuerdo con su percepción, mencione el principal ","De acuerdo con su percepción, mencione el principal ","De acuerdo con su percepción, mencione el principal "
c211,por su orientacion sexual,revisar,categorica,p68_8,p77_8,p89_8,3,0.62,match,,por su orientación sexual?,"P 77 8 por su orientación sexual? (homosexual, bisex","por su orientación sexual? (homosexual, bisexual, et"
c225,si fue una enfermedad aguda se resolvio su problema ,revisar,categorica,p78,p84,,2,0.69,match,,"Si fue una enfermedad aguda, ¿se resolvió su problem",P 84 SOLO PARA QUIENES ACUDIERON A UNA CONSULTA MÉDI,
c228,seguro medico imss privado,revisar,categorica,p7_2,p7_2,p5_2,3,0.74,match,,Seguro Medico (IMSS/ privado),P 7 2 Seguro Medico (IMSS/ privado),Servicio Médico (IMSS/ privado)
c233,que tan comun es que pueda surtir su receta completa,revisar,categorica,p81,p87,p98,3,0.67,match,,¿Qué tan común es que pueda surtir su receta complet,¿Qué tan común es que pueda surtir su receta complet,De acuerdo con la siguiente escala ¿Qué tan común es
c234,si no respondio siempre en la pregunta anterior que ,revisar,categorica,p82,p88,,2,0.65,code_partial,,"Si no respondió siempre en la pregunta anterior, ¿Qu",P 88 Solo para servicios médicos públicos (Solo para,
c235,cuantos dias pasaron entre que le programaron la cit,revisar,categorica,p84,p90,p101,3,0.69,relabel?,,¿Cuántos días pasaron entre que le programaron la ci,(Solo para quienes respondieron consulta programada),¿Cuántos días pasaron entre que le programaron la ci
c237,cuantas horas espero para ser atendido,revisar,numerica,p86_1,p92_1,p103_1,3,0.7,na,,¿Cuántas Horas esperó para ser atendido?,P 92 1 ¿Cuánto tiempo esperó para ser atendido? Hora,¿Cuánto tiempo esperó para ser atendido? Horas___
c240,trato y atencion por parte del personal medico,revisar,categorica,p88_1,,p105_1,2,0.71,match,,Trato y atención por parte del personal médico.,,Trato y atención por parte del personal médico (doct
c245,tomando en cuenta las preguntas previas evalue del 1,revisar,categorica/numerica,p89,p95,p106,3,1.0,match,,Tomando en cuenta las preguntas previas: Evalúe del ,Tomando en cuenta las preguntas previas: Evalúe del ,Tomando en cuenta las preguntas previas: Evalúe del 
c246,al dia cuantas horas destina a los quehaceres consta,revisar,numerica,p8_1,p8_1,p7_1,3,0.77,na,,"Al día, ¿cuántas horas destina a los quehaceres cons","P 8 P 8 2 Min___ 1 Al día, ¿cuántas horas destina a ","Pensando en un día típico, ¿cuántas horas en promedi"
c248,cual es el principal problema en el area salud que s,revisar,categorica,p90,p98,p109,3,0.71,code_partial,,¿Cuál es el principal problema en el área SALUD que ,P 98 ¿Cuál es el principal problema en el área SALUD,¿Cuál es el principal problema en el área SALUD que 
c252,de acuerdo con su percepcion cual es el principal pr,revisar,categorica,p92,p99,p110,3,0.77,code_partial,,"De acuerdo con su percepción, ¿Cuál es el principal ","De acuerdo con su percepción, ¿Cuál es el principal ","De acuerdo con su percepción, ¿Cuál es el principal "
c253,que tan seguro se siente en su municipio,revisar,categorica,p93,p100,p111,3,0.61,relabel?,,¿Qué tan seguro se siente en su municipio?,¿Qué tan seguro(a) se siente en su municipio?,De acuerdo con la siguiente escala ¿Qué tan seguro(a
c255,en el ultimo ano usted o algun miembro del hogar ha ,revisar,categorica,p95,p102,p113,3,0.67,match,,"En el último año, usted o algún miembro del hogar ¿h","En el último año, usted o algún miembro del hogar ¿h","En los últimos 12 meses, usted o algún miembro del h"
c256,si contesto que si a la pregunta anterior usted o la,revisar,categorica,p96,p103,p114,3,0.59,match,,Si contestó que sí a la pregunta anterior: ¿Usted o ,Si contestó que sí a la pregunta anterior: ¿Usted o ,"¿Usted o la persona que fue víctima, denunció el del"
c258,como califica la experiencia de su denuncia del 1 al,revisar,categorica/numerica,p98,p104,p116,3,1.0,match,,"¿Cómo califica la experiencia de su denuncia, del 1 ","¿Cómo califica la experiencia de su denuncia, del 1 ","¿Cómo califica la experiencia de su denuncia, del 1 "
c259,para todos los encuestados que tan probable consider,revisar,categorica,p99,p105,p117,3,0.67,relabel?,,"(Para todos los encuestados), ¿Qué tan probable cons",Para todos los encuestados ¿Qué tan probable conside,De acuerdo con la siguiente escala ¿Qué tan probable
c266,tiempo total en minutos que tardo en el medio que lo,revisar,numerica,tiempo_regreso,,tiempo_total_traslado,2,0.71,na,,Tiempo total en minutos que tardó en el medio que lo,,¿Cuánto tiempo tardó en trasladarse en el medio que 
c268,total min trabajo rem,revisar,numerica,total_min_trabajo_rem,total_min_trabajo_rem_y_norem,,2,0.75,na,,Total min trabajo rem,Total min trabajo rem y norem,
c271,ha sido victima de al menos una de las situaciones m,revisar,categorica,victima_tp,,victima_tp,2,0.78,match,,Ha sido víctima de al menos una de las situaciones m,,En los últimos 12 meses al utilizar el transporte pú
c293,si contesto que si salio de casa cual fue el princip,revisar,categorica,,p13,p12,2,0.76,code_partial,,,"Si contestó que sí salió de casa, ¿cuál fue el princ",¿Cuál fue el principal motivo para trasladarse fuera
c313,sabe que tipo de iniciativa es como vamos,revisar,categorica,,p159,p163,2,0.64,code_partial,,,"¿Sabe qué tipo de iniciativa es ""Cómo Vamos""?",¿Sabe cuál de los siguientes tipos de iniciativa es 
c338,a la mitad de la administracion de samuel garcia con,revisar,categorica,,p64,p77,2,0.64,match,,,"A la mitad de la administración de Samuel García, ¿c",¿Considera que el gobierno de Samuel García ha reali
c348,como calificaria las instalaciones del hospital o cl,revisar,categorica,,p93,p104,2,0.73,match,,,P 93 ¿Cómo calificaría las instalaciones del hospita,De acuerdo con la siguiente escala ¿Cómo calificaría
