concept_id,label,accion,tipos,y2023,y2024,y2025,n,score,opts,multi,t23,t24,t25
c085,participar en juntas comites de vecinos,comparable,categorica,p139_4,p157_4,p161_4,3,1.0,match,,Participar en juntas/comités de vecinos.,P 157 4 Participar en juntas/comités de vecinos.,Participar en juntas/comités de vecinos.
c086,participar en una asociacion de padres de familia,solo_concepto,categorica,p139_5,p157_5,p161_5,3,1.0,code_diff,,Participar en una asociación de padres de familia.,P 157 5 Participar en una asociación de padres de fa,Participar en una asociación de padres de familia.
c087,contactarse con los medios de comunicacion,comparable,categorica,p139_6,p157_6,p161_6,3,1.0,match,,Contactarse con los medios de comunicación.,P 157 6 Contactarse con los medios de comunicación.,Contactarse con los medios de comunicación.
c088,firmar peticiones en linea,comparable,categorica,p139_7,p157_7,p161_7,3,1.0,match,,Firmar peticiones en línea.,P 157 7 Firmar peticiones en línea.,Firmar peticiones en línea.
c089,votar o proponer en que se deberia gastar el presupu,comparable,categorica,p139_8,p157_8,p161_8,3,1.0,match,,Votar o proponer en qué se debería gastar el presupu,P 157 8 Votar o proponer en qué se debería gastar el,Votar o proponer en qué se debería gastar el presupu
c090,solicitar apoyo o presentar quejas a funcionarios o ,comparable,categorica,p139_9,p157_9,p161_9,3,1.0,match,,Solicitar apoyo o presentar quejas a funcionarios o ,P 157 9 Solicitar apoyo o presentar quejas a funcion,Solicitar apoyo o presentar quejas a funcionarios o 
c093,en su opinion cual es el principal problema que enfr,solo_concepto,categorica,p142,p161,,2,1.0,code_partial,,En su opinión: ¿cuál es el principal problema que en,En su opinión: ¿cuál es el principal problema que en,
c098,cuantas personas viajan en el auto,comparable,numerica,p16_8,p18_8,p18,3,1.0,na,,¿Cuántas personas viajan en el auto?:,P 18 8 ¿Cuántas personas viajan en el auto?:,¿Cuántas personas viajan en el auto?:
c100,cuanto tiempo espero para tomar su principal medio d,comparable,numerica,p18_1,,p21_1,2,0.91,na,,¿Cuánto tiempo esperó para tomar su principal medio ,,¿Cuánto tiempo esperó para tomar su principal modo d
c101,min,comparable,numerica,p18_2,p10_2,p20_2,3,1.0,na,,Min:,P 10 2 Min___,Min____
c102,realizo algun transbordo en su viaje de ida cambio d,comparable,categorica,p19,p21,p22,3,0.9,match,,"""¿Realizó algún transbordo en su viaje de ida? (Camb",¿Realizó algún transbordo en su viaje de ida a su de,¿Realizó algún transbordo en su viaje de ida a su de
c104,cuantos transbordos realizo en su viaje de ida,comparable,categorica,p20,,p23,2,1.0,match,,¿Cuántos transbordos realizó en su viaje de ida?,,¿Cuántos transbordos realizó en su viaje de ida?
c105,cual fue el costo total de su viaje principal de ida,comparable,numerica,p21,p23,p24,3,1.0,na,,¿Cuál fue el COSTO TOTAL de su viaje principal de ID,P 23 ¿Cuál fue el COSTO TOTAL de su viaje principal ,¿Cuál fue el COSTO TOTAL de su viaje principal de ID
c106,cual fue el costo total de su viaje principal de reg,comparable,numerica,p22,p24,p25,3,1.0,na,,¿Cuál fue el COSTO TOTAL de su viaje principal de RE,P 24 ¿Cuál fue el COSTO TOTAL de su viaje principal ,¿Cuál fue el COSTO TOTAL de su viaje principal de RE
c107,cual es su gasto total semanal en transporte publico,comparable,numerica,p23,p25,,2,1.0,na,,¿Cuál es su gasto total semanal en transporte públic,P 25 ¿Cuál es su gasto total semanal en transporte p,
c108,cuanto tiempo de ida tardo en el medio que lo transp,comparable,numerica,p24_1,p26_1,p27_1,3,0.8,na,,¿Cuánto tiempo de ida tardó en el medio que lo trans,¿Cuánto tiempo de ida tardó en el medio que lo trans,¿Cuánto tiempo tardó de ida a su destino principal? 
c110,cuanto tiempo tardo de vuelta en el medio que lo tra,comparable,numerica,p25_1,p27_1,,2,1.0,na,,¿Cuánto tiempo tardó de vuelta en el medio que lo tr,¿Cuánto tiempo tardó de vuelta en el medio que lo tr,
c113,el tiempo de espera por unidades es siempre el mismo,comparable,categorica,p27_1,,p32_1,2,0.82,match,,¿El tiempo de espera por unidades es siempre el mism,,¿El tiempo de espera es siempre el mismo?
c114,si necesita viajar a zonas que normalmente no visita,comparable,categorica,p27_2,p31_2,p32_2,3,1.0,match,,Si necesita viajar a zonas que normalmente no visita,Si necesita viajar a zonas que normalmente no visita,Si necesita viajar a zonas que normalmente no visita
c115,se siente seguro viajando en el transporte publico,comparable,categorica,p27_3,p31_3,p32_3,3,0.93,match,,¿Se siente seguro viajando en el transporte público?,P 31 3 ¿Se siente seguro(a) viajando en el transport,¿Se siente seguro(a) viajando en el transporte públi
c116,en su viaje regularmente puede ir sentado a,comparable,categorica,p27_4,p31_4,p32_4,3,1.0,match,,"En su viaje, ¿regularmente puede ir sentado(a)?","P 31 4 En su viaje, ¿regularmente puede ir sentado(a","En su viaje, ¿regularmente puede ir sentado(a)?"
c117,los choferes manejan en forma prudente y segura mane,comparable,categorica,p27_5,p31_5,p32_5,3,0.96,match,,¿Los choferes manejan en forma prudente y segura? (m,¿Los choferes manejan en forma prudente y segura? (m,¿Los choferes regularmente manejan en forma prudente
c118,las unidades de transporte publico que utiliza estan,comparable,categorica,p27_6,p31_6,p32_6,3,1.0,match,,¿Las unidades de transporte público que utiliza está,P 31 6 ¿Las unidades de transporte público que utili,¿Las unidades de transporte público que utiliza está
c119,le miraron morbosamente el cuerpo,comparable,categorica,p28_1,p34_1,p39_1,3,1.0,match,,Le miraron morbosamente el cuerpo,P 34 1 Le miraron morbosamente el cuerpo,Le miraron morbosamente el cuerpo
c120,le dijeron piropos obscenos u ofensivos de caracter ,comparable,categorica,p28_2,p34_2,p39_2,3,1.0,match,,Le dijeron piropos obscenos u ofensivos de carácter ,Le dijeron piropos obscenos u ofensivos de carácter ,Le dijeron piropos obscenos u ofensivos de carácter 
c121,le hicieron sentir miedo de sufrir un ataque o abuso,comparable,categorica,p28_3,p34_3,p39_3,3,1.0,match,,Le hicieron sentir miedo de sufrir un ataque o abuso,Le hicieron sentir miedo de sufrir un ataque o abuso,Le hicieron sentir miedo de sufrir un ataque o abuso
c122,le tocaron o manosearon el cuerpo sin su consentimie,comparable,categorica,p28_4,p34_4,p39_4,3,1.0,match,,Le tocaron o manosearon el cuerpo sin su consentimie,Le tocaron o manosearon el cuerpo sin su consentimie,Le tocaron o manosearon el cuerpo sin su consentimie
c124,asientos danados o sucios,comparable,categorica,p30_1,p33_1,p36_1,3,1.0,match,,Asientos dañados o sucios.,P 33 1 Asientos dañados o sucios.,Asientos dañados o sucios.
c125,vidrios rotos,comparable,categorica,p30_2,p33_2,p36_2,3,1.0,match,,Vidrios rotos.,P 33 2 Vidrios rotos.,Vidrios rotos.
c126,grafiti y rayones,comparable,categorica,p30_3,p33_3,,2,1.0,match,,Grafiti y rayones.,P 33 3 Grafiti y rayones.,
c127,ruidoso escandaloso,comparable,categorica,p30_4,p33_4,,2,1.0,match,,"Ruidoso, escandaloso.","P 33 4 Ruidoso, escandaloso.",
c128,echa humo contaminante,comparable,categorica,p30_5,p33_5,p36_3,3,1.0,match,,Echa humo contaminante.,P 33 5 Echa humo contaminante.,Echa humo contaminante.
c129,puertas o ventanas que no cierran adecuadamente,comparable,categorica,p30_6,p33_6,p36_4,3,1.0,match,,Puertas o ventanas que no cierran adecuadamente.,P 33 6 Puertas o ventanas que no cierran adecuadamen,Puertas o ventanas que no cierran adecuadamente.
c130,timbre danado o inexistente si el timbre esta danado,comparable,categorica,p30_7,p33_7,p36_5,3,1.0,match,,Timbre dañado o inexistente (Si el timbre está dañad,P 33 7 Timbre dañado o inexistente (Si el timbre est,Timbre dañado o inexistente (Si el timbre está dañad
c131,goteras en epoca de lluvia,comparable,categorica,p30_8,p33_8,p36_6,3,1.0,match,,Goteras en época de lluvia.,P 33 8 Goteras en época de lluvia.,Goteras en época de lluvia.
c132,aparatos validadores de tarjeta danados o inexistent,comparable,categorica,p30_9,p33_9,p36_7,3,1.0,match,,Aparatos validadores de tarjeta dañados o inexistent,P 33 9 Aparatos validadores de tarjeta dañados o ine,Aparatos validadores de tarjeta dañados o inexistent
c135,cuantas bicicletas hay en el hogar,comparable,numerica,p33,p36,p46,3,1.0,na,,¿Cuántas bicicletas hay en el hogar?,P 36 ¿Cuántas bicicletas hay en el hogar?,¿Cuántas bicicletas hay en el hogar?
c136,durante los viajes que realiza en la semana para alg,comparable,categorica,p34,p37,p47,3,1.0,match,,Durante los viajes que realiza en la semana ¿para al,P 37 Durante los viajes que realiza en la semana ¿pa,Durante los viajes que realiza en la semana ¿para al
c137,para quien respondio que no cual es la razon princip,solo_concepto,categorica,p35,p38,,2,1.0,code_partial,,Para quién respondió que no ¿cuál es la razón princi,P 38 Para quién respondió que no ¿cuál es la razón p,
c138,cuantos vehiculos de motor autos y camionetas hay en,comparable,numerica,p36,p39,p49,3,1.0,na,,¿Cuántos vehículos de motor (autos y camionetas) hay,¿Cuántos vehículos de motor (autos y camionetas) hay,¿Cuántos vehículos de motor (autos y camionetas) hay
c139,en esta vivienda cual es el gasto total por semana e,comparable,numerica,p37,p40,p50,3,1.0,na,,En esta vivienda ¿Cuál es el gasto total por semana ,En esta vivienda ¿Cuál es el gasto total por semana ,En esta vivienda ¿Cuál es el gasto total por semana 
c140,cuando camina en este municipio considera que los cr,comparable,categorica,p38_1,p43_1,,2,1.0,relabel?,,Cuando camina en este municipio considera que ¿Los c,Cuando camina en este municipio considera que: P 43 ,
c151,considera que en su colonia existe un problema de vi,comparable,categorica,p41,p46,,2,1.0,match,,¿Considera que en su colonia existe un problema de v,P 46 ¿Considera que en su colonia existe un problema,
c152,cuando fue la ultima vez que se mudo de casa,comparable,categorica,p42,p47,p55,3,1.0,relabel?,,¿Cuándo fue la última vez que se mudó de casa?,P 47 ¿Cuándo fue la última vez que se mudó de casa?,¿Cuándo fue la última vez que se mudó de casa?
c153,solo para quienes responden 1 y 2 la vivienda a la q,comparable,categorica,p43,p48,,2,1.0,match,,Solo para quienes responden 1 y 2. La vivienda a la ,P 48 Solo para quienes responden 1 y 2. La vivienda ,
c155,cual fue el motivo de su cambio de residencia,solo_concepto,categorica,p45,p50,,2,1.0,code_partial,,¿Cuál fue el motivo de su cambio de residencia?,P 50 ¿Cuál fue el motivo de su cambio de residencia?,
c161,en su colonia existen perros o gatos abandonados en ,comparable,categorica,p47,p53,p63,3,0.89,match,,¿En su colonia existen perros o gatos abandonados / ,P 53 ¿En su colonia existen perros o gatos abandonad,¿En su colonia existen perros o gatos en la calle o 
c164,cuantas horas trabaja al dia considerando hora de co,comparable,numerica,p5,,p3_1,2,1.0,na,,¿Cuántas horas trabaja al día (considerando hora de ,,¿Cuántas horas trabaja al día (considerando hora de 
c166,por lo general con que frecuencia visita los parques,comparable,categorica,p51,p60,p70,3,1.0,match,,Por lo general ¿con qué frecuencia visita los parque,P 60 Por lo general ¿con qué frecuencia visita los p,Por lo general ¿con qué frecuencia visita los parque
c167,estan limpios y tienen buena imagen,comparable,categorica,p52_1,p61_1,p71_1,3,1.0,match,,Están limpios y tienen buena imagen.,P 61 1 Están limpios y tienen buena imagen.,¿Están limpios y tienen buena imagen?
c168,son seguros para usted y su familia,comparable,categorica,p52_2,,p71_2,2,1.0,match,,Son seguros para usted y su familia.,,¿Son seguros para usted y su familia?
c169,cuentan con espacios para hacer ejercicio canchas ap,comparable,categorica,p52_3,p61_3,p71_3,3,1.0,match,,"Cuentan con espacios para hacer ejercicio (canchas, ",P 61 3 Cuentan con espacios para hacer ejercicio (ca,"¿Cuentan con espacios para hacer ejercicio (canchas,"
c170,cuentan con suficientes arboles y vegetacion en el s,comparable,categorica,p52_4,p61_4,p71_4,3,0.86,match,,Cuentan con suficientes árboles y vegetación en el s,Cuentan con suficientes árboles que brinden sombra y,¿Cuentan con suficientes árboles que brinden sombra 
c171,cuentan con infraestructura necesaria rampas para pe,comparable,categorica,p52_5,p61_5,p71_5,3,0.94,match,,Cuentan con infraestructura necesaria (rampas para p,Cuentan con infraestructura necesaria (rampas para p,¿Cuentan con infraestructura necesaria (rampas para 
c173,implementar verificacion vehicular revision de las e,comparable,categorica,p54_1,p63_1,,2,1.0,match,,Implementar verificación vehicular (revisión de las ,P 63 1 Implementar verificación vehicular (revisión ,
c174,implementar hoy no circula programa en el que salen ,comparable,categorica,p54_2,p63_2,,2,1.0,match,,"Implementar ""Hoy no circula"" (Programa en el que sal","P 63 2 Implementar ""Hoy no circula"" (Programa en el ",
c175,retirar de circulacion a vehiculos contaminantes,comparable,categorica,p54_3,p63_3,,2,1.0,match,,Retirar de circulación a vehículos contaminantes,P 63 3 Retirar de circulación a vehículos contaminan,
c176,invertir mas en transporte publico y menos en infrae,comparable,categorica,p54_4,p63_4,,2,1.0,match,,Invertir más en transporte público y menos en infrae,P 63 4 Invertir más en transporte público y menos en,
c177,sancionar a industrias que contaminen aunque impliqu,comparable,categorica,p54_5,p63_5,,2,1.0,match,,"Sancionar a industrias que contaminen, aunque impliq","P 63 5 Sancionar a industrias que contaminen, aunque",
c187,cuantos dias a la semana trabaja,comparable,numerica,p6,p6,p4,3,1.0,na,,¿Cuántos días a la semana trabaja?:,P 6 ¿Cuántos días a la semana trabaja?:,¿Cuántos días a la semana trabaja?:
c189,con respecto al rio santa catarina cual de las sigui,solo_concepto,categorica,p61,p71,p84,3,0.93,code_partial,,"Con respecto al Río Santa Catarina, ¿cuál de las sig","Con respecto al Río Santa Catarina, ¿cuál de las sig","Con respecto al Río Santa Catarina, ¿cuál de las sig"
c191,como describiria usted la situacion economica de su ,comparable,categorica,p63,p73,p86,3,0.83,match,,¿Cómo describiría usted la SITUACIÓN económica DE SU,¿Cómo describiría usted la SITUACIÓN económica DE SU,De acuerdo con la siguiente escala ¿Cómo describiría
c192,y como cree usted que sera la situacion economica de,comparable,categorica,p64,p74,p87,3,1.0,match,,¿Y cómo cree usted que será la SITUACIÓN económica D,P 74 ¿Y cómo cree usted que será la SITUACIÓN económ,¿Y cómo cree usted que será la SITUACIÓN económica D
c193,con el total del ingreso del hogar diria usted que,comparable,categorica,p65,p75,p88,3,1.0,match,,"Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…","P 75 Con el TOTAL DEL INGRESO DEL HOGAR, diría usted","Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…"
c195,considera que las mujeres tienen las mismas oportuni,comparable,categorica,p67,p76,,2,0.94,match,,¿Considera que las mujeres tienen las mismas oportun,P 76 ¿Considera que las mujeres tienen las mismas op,
c196,cree que en nuevo leon se discrimina a la gente por ,comparable,categorica,p68_1,p77_1,,2,0.89,match,,¿Cree que en Nuevo León se discrimina a la gente: po,P 77 1 por ser mujer? ¿Cree que en Nuevo León se dis,
c197,por su forma de vestir o arreglo personal tatuajes r,comparable,categorica,p68_10,p77_10,p89_10,3,1.0,match,,"por su forma de vestir o arreglo personal (tatuajes,",P 77 10 por su forma de vestir o arreglo personal (t,"por su forma de vestir o arreglo personal (tatuajes,"
c198,por tener sobrepeso u obesidad,comparable,categorica,p68_11,p77_11,p89_11,3,1.0,match,,por tener sobrepeso u obesidad?,P 77 11 por tener sobrepeso u obesidad?,por tener sobrepeso u obesidad?
c199,por tener alguna enfermedad,comparable,categorica,p68_12,p77_12,p89_12,3,1.0,match,,por tener alguna enfermedad?,P 77 12 por tener alguna enfermedad?,por tener alguna enfermedad?
c200,por ser migrante,comparable,categorica,p68_13,p77_13,p89_13,3,1.0,match,,por ser migrante?,P 77 13 por ser migrante?,por ser migrante?
c201,por su identidad o expresion de genero personas tran,comparable,categorica,p68_14,p77_14,p89_14,3,1.0,match,,por su identidad o expresión de género (personas tra,P 77 14 por su identidad o expresión de género (pers,por su identidad o expresión de género (personas tra
