q_id,q_text,q_section,q_type,q_notes
p31_6,P31.6. Puertas o ventanas que no cierran adecuadamente.,generales,categorica,
p31_7,P31.7. Timbre no funciona.,generales,categorica,
p31_8,P31.8. Goteras en época de lluvia.,generales,categorica,
p31_9,P31.9. Aparatos validadores de tarjeta dañados.,generales,categorica,
p31_10,P31.10. Inadecuada iluminación en el interior de la unidad.,generales,categorica,
p31_11,"P31.11. Usted, ¿recomendaría usar el transporte público de Nuevo León para trasladarse a la escuela, al trabajo, etc.?",generales,categorica,
p32,"P32. Tomando en cuenta las preguntas previas: Evalúe del 1 al 10 qué tan satisfecho está con el SERVICIO DE TRANSPORTE, donde 1 es lo más bajo (lo peor) y lo más alto es 10 (lo mejor).",generales,numerica,
p21_1,P21.1. Cuando camina en su municipio considera que ¿Los cruces peatonales le permiten desplazarse con seguridad?,generales,categorica,
p21_2,P21.2. Cuando camina en su municipio considera que ¿Las rampas para personas con discapacidad están en buen estado?,generales,categorica,
p21_3,P21.3. Cuando camina en su municipio considera que ¿Las banquetas son suficientes para llegar a su destino?,generales,categorica,
p21_4,P21.4. Cuando camina en su municipio considera que ¿Las banquetas son amplias para que circulen dos personas en silla de ruedas o carriolas?,generales,categorica,
p21_5,"P21.5. Cuando camina en su municipio considera que ¿Las banquetas tienen obstáculos? (como cabinas telefónicas, postes, árboles, carros estacionados, negocios informales)",generales,categorica,
p21_6,P21.6. Cuando camina en su municipio considera que ¿Las banquetas están dañadas?,generales,categorica,
p21_7,"P21.7. Cuando camina en su municipio considera que ¿Las banquetas permiten el desplazamiento de personas con discapacidad (ciegas, débiles visuales, en silla de ruedas)?",generales,categorica,
p21_8,P21.8. Cuando camina en su municipio considera que ¿Las banquetas cuentan con alumbrado adecuado y funcionando para desplazarse por la noche?,generales,categorica,
p21_9,P21.9. Cuando camina en su municipio considera que ¿Las banquetas están limpias?,generales,categorica,
p22,"P22. ""Del 1 al 10 ¿Cómo califica la calidad y estado de las banquetas en su municipio? Donde 1 es lo más bajo (lo peor) y 10, lo más alto (lo mejor).""",generales,categorica,
p33,"P33. De acuerdo con su percepción, mencione cuál es el principal problema con el que se enfrenta cuando SE MUEVE por el Área Metropolitana.",generales,categorica,
p34,P34. ¿Cuál de los siguientes servicios se encuentra A MENOS DE 1 kilómetro o MENOS DE 15 minutos caminando?,desarrollo_urbano,numerica,
p34_1,P34.1. Clínica o consultorio médico,desarrollo_urbano,categorica,
p34_2,P34.2. Parques o jardines,desarrollo_urbano,categorica,
p34_3,P34.3. Escuelas,desarrollo_urbano,categorica,
p34_4,P34.4. Trabajo,desarrollo_urbano,categorica,
p34_5,P34.5. Tiendas de conveniencia,desarrollo_urbano,categorica,
p34_6,P34.6. Supermercados,desarrollo_urbano,categorica,
p34_7,P34.7. Bancos,desarrollo_urbano,categorica,
p34_8,P34.8. Lugar para ejercitarse público,desarrollo_urbano,categorica,
p34_9,P34.9. Parada de transporte público,desarrollo_urbano,categorica,
p34_10,"P34.10. Lugares recreativos (cine, centro comercial, teatro)",desarrollo_urbano,categorica,
p34_11,P34.11. Lugares para comer,desarrollo_urbano,categorica,
p34_12,P34.12. Bares,desarrollo_urbano,categorica,
p34_13,P34.13. Farmacias,desarrollo_urbano,categorica,
p34_14,P34.14. Guarderías,desarrollo_urbano,categorica,
p35,"P35. De acuerdo con su experiencia, en su colonia, actualmente:",desarrollo_urbano,numerica,
p35_1,P35.1. Existen viviendas abandonadas,desarrollo_urbano,categorica,
p35_2,"P35.2. Se están construyendo casas o edificaciones en lugares sin alguna infraestructura básica: calles, drenaje, luminarias, banquetas",desarrollo_urbano,categorica,
p35_3,"P35.3. Hay construcciones sin permiso o con permiso irregular de bares, antros, tiendas, iglesias, etc en espacios NO destinadas para ello",desarrollo_urbano,categorica,
p36,P36. ¿Cuándo fue la última vez que se mudó de casa?,desarrollo_urbano,categorica,
p37,P37. (Si se mudo de casa) ¿En qué municipio y estado vivía antes?,desarrollo_urbano,numerica,
p38,P 38. ¿Cuál fue el motivo de su cambio de residencia?,desarrollo_urbano,categorica,
p39,"P39. Durante los últimos 6 meses ¿ha visitado algún área natural (montaña, río, paraje)?",desarrollo_urbano,numerica,
p40,"P40. En su opinión, ¿cuál es el principal problema de DESARROLLO URBANO que se vive en su municipio?",desarrollo_urbano,categorica,
p41,"P41. De acuerdo con su experiencia en su municipio, qué tan satisfecho está con los siguientes servicios públicos. Evalúe, en una escala del 1 al 10, en donde 1 es ""muy malo"" y 10 ""muy bueno"".",desarrollo_urbano,numerica,
p41_1,P41.1. Alumbrado público.,desarrollo_urbano,numerica,
p41_2,P41.2. Condición de las calles y avenidas.,desarrollo_urbano,numerica,
p41_4,"P41.4. Parques, plazas y áreas verdes.",desarrollo_urbano,numerica,
p41_5,P41.5. Drenaje pluvial.,desarrollo_urbano,numerica,
p41_6,P41.6. Recolección de basura.,desarrollo_urbano,numerica,
p41_7,P41.7. Perros y gatos abandonados / en la calle.,desarrollo_urbano,numerica,
p42,P42. Los parques y jardines de su municipio:,medio_ambiente,numerica,
p42_1,P42.1. Están limpios y tienen buena imagen.,medio_ambiente,categorica,
p42_2,P42.2. Son seguros para usted y su familia.,medio_ambiente,categorica,
p42_3,P42.3. Cuentan con espacios para hacer ejercicio.,medio_ambiente,categorica,
p42_4,"P42.4. Cuentan con suficientes árboles y vegetación en el suelo (pasto, jardínes, plantas)",medio_ambiente,categorica,
p42_5,"P42.5. Cuentan con infraestructura necesaria (bancas, bebederos, luminarias funcionando).",medio_ambiente,categorica,
p43,P43. Considera que la calidad del aire en su municipio es:,medio_ambiente,categorica,
p44,"P44. Para combatir el problema de la mala calidad del aire en el Área Metropolitana de Monterrey, usted estaría de acuerdo en:",medio_ambiente,numerica,
p44_1,P44.1. Implementar verificación vehicular,medio_ambiente,categorica,
p44_2,"P44.2. Implementar ""Hoy no circula""",medio_ambiente,categorica,
p44_3,P44.3. Retirar de circulación a vehículos contaminantes,medio_ambiente,categorica,
p44_4,P44.4. Invertir más en transporte público y menos en infraestructura para el automóvil.,medio_ambiente,categorica,
p44_5,"P44.5. Sancionar a empresas que contaminen, aunque implique su clausura.",medio_ambiente,categorica,
p45,"P45. Semanalmente, ¿separan los residuos de basura en su hogar para reciclar?",medio_ambiente,numerica,
p46,P46. (Solo en caso de que en la pregunta anterior responda No)¿Cual es la razón principal por la que no lo haces?,medio_ambiente,categorica,
p47,"P47. De acuerdo con su percepción, mencione el principal PROBLEMA AMBIENTAL que se vive en su municipio.",medio_ambiente,categorica,
p48,P48. ¿Cuántos dormitorios hay en este hogar?,medio_ambiente,numerica,
p49,P49. ¿Cómo describiría usted la SITUACIÓN económica DE SU HOGAR comparada con la de HACE 12 MESES ?,medio_ambiente,categorica,
p50,P50. ¿Y cómo cree usted que será la SITUACIÓN económica DE SU HOGAR DENTRO DE 12 MESES respecto de la actual?,medio_ambiente,categorica,
p51,P51. Durante la pandemia ha sufrido alguna de las siguientes situaciones:,medio_ambiente,numerica,
p51_1,P51.1 Perdió su empleo:,medio_ambiente,numerica,
p51_2,P51.2 Disminución en los ingresos del hogar,medio_ambiente,numerica,
p51_2_1,P51.2.1 Esta disminución en ingresos le impidió: Comprar algunos alimentos,medio_ambiente,numerica,
p51_2_2,P51.2.2 Cubrir la renta o hipoteca de la vivienda que habita:,medio_ambiente,numerica,
p51_2_3,P51.2.3 Pagar sus deudas,medio_ambiente,numerica,
p52,"P52. Con el TOTAL DEL INGRESO DEL HOGAR, diría usted que…",medio_ambiente,categorica,
p53,"P53. Considera que las mujeres tienen las mismas oportunidades laborales, políticas y sociales que los hombres:",medio_ambiente,categorica,
p54,P54. ¿Cree que en Nuevo León es frecuente que se discrimine a la gente por:,medio_ambiente,numerica,
p54_1,P54.1. Por ser mujer,medio_ambiente,categorica,
p54_2,P54.2. Por ser hombre,medio_ambiente,categorica,
p54_3,P54.3. Por su embarazo,medio_ambiente,categorica,
p54_4,P54.4. Por su edad,medio_ambiente,categorica,
p54_5,P54.5. Por ser pobre,medio_ambiente,categorica,
p54_6,P54.6. Por ser indígena,medio_ambiente,categorica,
p54_7,P54.7. Por ser persona con discapacidad,medio_ambiente,categorica,
p54_8,P54.8. Por su orientación sexual,medio_ambiente,categorica,
p54_9,P54.9. Por su color de piel,medio_ambiente,categorica,
p54_10,P54.10. Por tener algún tatuaje,medio_ambiente,categorica,
p54_11,P54.11. Por tener sobrepeso u obesidad,medio_ambiente,categorica,
p54_12,P54.12. Por tener alguna enfermedad,medio_ambiente,categorica,
p54_13,P54.13. Por ser extranjero,medio_ambiente,categorica,
p54_14,P54.14. Por ser migrante,medio_ambiente,categorica,
p54_15,P54.15. Por su identidad o expresión de género (personas trans),medio_ambiente,categorica,
p54_16,P54.16. Otro,medio_ambiente,categorica,
p54_16_1,P54.16.1. ¿cuál?,medio_ambiente,numerica,
p55,"P55. En los últimos 12 meses, ¿usted ha notado una mayor cantidad de personas migrantes en el estado Nuevo León ?",medio_ambiente,categorica,
p56,P56. Mencione sí está de acuerdo con las siguientes afirmaciones:,medio_ambiente,numerica,
p56_1,P56.1. México debería admitir a más personas migrantes al país.,medio_ambiente,categorica,
p56_2,P56.2. A las personas migrantes se les debe dar la oportunidad de que consigan un empleo en Nuevo León.,medio_ambiente,categorica,
p56_3,"P56.3. Si son migrantes que se establecen en Nuevo León, se les debería proporcionar apoyos sociales.",medio_ambiente,categorica,
p56_4,"P56.4. Si son migrantes que van a Estados Unidos, se les debería proporcionar apoyo durante su estancia en el estado.",medio_ambiente,categorica,
p56_5,P56.5. El aumento de personas migrantes en el estado está relacionado con el incremento de la inseguridad que se ha observado en los últimos años.,medio_ambiente,categorica,
p57,"P57. Durante los últimos 12 meses, ¿Tuvo algún problema de salud? (Si tuvo dos o más padecimientos, seleccionar el más reciente)",medio_ambiente,categorica,
p58,P58. ¿Tuvo una consulta médica por este problema de salud?,medio_ambiente,categorica,
p59,P59. ¿Por qué no consultó? (no leer respuestas),medio_ambiente,categorica,
p60_1,"P60.1. Si fue una enfermedad aguda, ¿se resolvió su problema? (Si la persona consultó)",medio_ambiente,categorica,
p60_2,P60.2. si es crónica ¿Le están dando un seguimiento adecuado? (Si la persona consultó),medio_ambiente,categorica,
p61,P61. ¿En dónde se atendió?,medio_ambiente,categorica,
p62,P62. Si utilizó SERVICIOS PÚBLICOS DE SALUD: ¿Qué tan común es que pueda surtir su receta completa?,medio_ambiente,categorica,
p63,P63. Si última visita médica en SERVICIOS PÚBLICOS DE SALUD fue:,medio_ambiente,categorica,
p64,P64. Para quién tuvo consulta programada¿Cuántos días pasaron entre que le programaron la cita y le atendieron?,medio_ambiente,numerica,
p65,P65. En esta última consulta,medio_ambiente,categorica,
p65_1,P65.1. ¿Cuántos minutos esperó para ser atendido?,medio_ambiente,numerica,
p66,P66. ¿Cómo calificaría las INSTALACIONES HOSPITALARIAS?,medio_ambiente,categorica,
p67,P67. ¿Cómo calificaría los siguientes aspectos de ATENCIÓN DE SERVICIOS DE SALUD?,medio_ambiente,numerica,
p67_1,P67.1. Trato y atención por parte del personal médico.,medio_ambiente,categorica,
p67_2,P67.2. Trato y atención de personal de enfermería y técnicos.,medio_ambiente,categorica,
p67_3,P67.3. Atención y el servicio por parte del personal administrativo.,medio_ambiente,categorica,
p67_4,P67.4. Horarios de atención.,medio_ambiente,categorica,
p67_5,P67.5. Información recibida sobre el padecimiento.,medio_ambiente,categorica,
p68,"P68. Tomando en cuenta las preguntas previas: Evalúe del 1 al 10 qué tan satisfecho está con el SERVICIO DE SALUD, donde 1 es lo más bajo (lo peor) y lo más alto es 10 (lo mejor).",medio_ambiente,categorica,
p69,P69. ¿Cuál es el principal problema de SALUD que se vive en su municipio?,medio_ambiente,categorica,
p70,"P70. De acuerdo a su experiencia, durante el período que ha durado la pandemia,",medio_ambiente,numerica,
p70_1,"P70.1. Se ha percibido decaído/a, deprimido/a",medio_ambiente,categorica,
p70_2,"P70.2. Se ha sentido nervioso/a, ansioso/a o muy alterado/a (con los nervios de punta)",medio_ambiente,categorica,
p70_3,P70.3. Han aumentado los enojos o discusiones en el hogar.,medio_ambiente,categorica,
p71,P71. ¿Ha tenido sospecha de tener COVID-19?,medio_ambiente,categorica,
p71_1,P71.1. ¿Se hizo la prueba?,medio_ambiente,numerica,
p72,P72. ¿Ya recibió al menos una dosis de la vacuna contra el COVID-19?,medio_ambiente,numerica,
p73,"P73. Si respondió que no, ¿por qué razón?",medio_ambiente,categorica,
p74,"P74. Sí respondió que sí, ¿Dónde se vacunó?",medio_ambiente,categorica,
p75,P75. ¿Está de acuerdo con las medidas que ha tomado el Gobierno del estado de NUEVO LEON durante la emergencia del coronavirus?,medio_ambiente,numerica,
p82,"P82. De acuerdo con su percepción, ¿Cuál es el principal problema de DESARROLLO SOCIAL que se vive en su municipio?",medio_ambiente,categorica,
p83,P83. ¿Qué tan seguro se siente en su municipio?,seguridad,categorica,
p84,"P84. En el último año, usted o algún miembro del hogar ¿ha sido víctima de algún delito?",seguridad,categorica,
p85,"P85. ¿Usted o la persona que fue víctima, denunció el delito?",seguridad,categorica,
p86,"P86. Si contestó que sí a la pregunta anterior ¿Cómo califica la experiencia de su denuncia, del 1 al 10, en donde 1 es ""muy mala"" y 10 ""muy buena""?",seguridad,categorica,
p87,"P87. (Para todos los encuestados), ¿Qué tan probable considera que los delitos denunciados sean investigados y castigados por las autoridades?",seguridad,categorica,
p88,P88. En el tema de SEGURIDAD considera que:,seguridad,numerica,
p88_1,P88.1. ¿La presencia de policías en su colonia es suficiente?,seguridad,categorica,
p88_2,P88.2. ¿La policía de su colonia lo hace sentir más seguro?,seguridad,categorica,
p88_3,P88.3. ¿Confía en la policía de su colonia?,seguridad,categorica,
p88_4,P88.4. ¿El trato del policía al ciudadano es de forma respetuosa?,seguridad,categorica,
p88_5,P88.5. ¿El trato del ciudadano al policía es de forma respetuosa?,seguridad,categorica,
p88_6,P88.6. ¿La policía es justa al tomar decisiones?,seguridad,categorica,
p89,"P89. ¿Cómo evalúa el desempeño de los servicios de seguridad? En una escala del 1 al 10, en donde 1 es ""muy malo"" y 10 ""muy bueno""",seguridad,numerica,
p89_1,P89.1. Policía de su Municipio y Barrio,seguridad,categorica,
p89_2,P89.2. Fuerza Civil,seguridad,categorica,
p89_3,P89.3. Guardia Nacional,seguridad,categorica,
p89_4,P89.4. Ejército y Marina,seguridad,categorica,
p89_5,P89.5. Tránsito,seguridad,categorica,
p90,"P90. Durante el último año, ¿ha tenido contacto con la policía o ha requerido de ella?",seguridad,categorica,
p91,"P91. Si respondió que sí a la pregunta anterior, diría que:",seguridad,numerica,
p91_1,P91.1. La policía cumplió con su labor.,seguridad,categorica,
p91_2,P91. 2. La policía solicitó una mordida o moche.,seguridad,categorica,
p92,"P92. Si requirió de la policía, ¿ésta acudió al llamado?",seguridad,categorica,
p93,P93. Considera que la violencia hacia las mujeres dentro de los hogares:,seguridad,categorica,
p94,P94. Considera que la violencia hacia las mujeres en la vía pública:,seguridad,categorica,
p95,P95. ¿Está de acuerdo con las siguientes afirmaciones?,seguridad,numerica,
p95_1,P95.1. Los piropos en la calle / transporte público hacia las mujeres son ofensivos.,seguridad,categorica,
p95_2,P95.2. Las mujeres tienen un mayor riesgo de ser agredidas que los hombres,seguridad,categorica,
p95_3,P95.3. Las mujeres comparten la responsabilidad de ser agredidas por su forma de vestir.,seguridad,categorica,
p96,"P96. De acuerdo con su percepción, ¿Mencione cuál es el principal problema de SEGURIDAD que se vive en su municipio?",seguridad,categorica,
p97,P97. ¿Cuál es el medio por el que más se entera de los temas de interés público y todo lo relacionado con gobierno?,gobierno,categorica,
p98,P98. Si respondió que no se entera en la pregunta anterior ¿por qué no lo hace?,gobierno,categorica,
p99,P99. ¿Cuál es la fuente de información más confiable?,gobierno,categorica,
p101,P101. ¿Votó en las pasadas elecciones?,gobierno,numerica,
p102,P102. (Solo quién dijo que no) ¿Por qué no votó?,gobierno,categorica,
p103,P103. Conocía el perfil y propuestas de los candidatos por los que votó para:,gobierno,numerica,
p103_1,P103.1. Diputado local,gobierno,categorica,
p103_2,P103.2. Diputado federal,gobierno,categorica,
p103_3,P103.3. Alcalde,gobierno,categorica,
p103_4,P103.4. Gobernador,gobierno,categorica,
p104,P104. ¿Considera que el gobierno de (Nombre de alcalde) hizo un buen uso de los recursos públicos?,gobierno,categorica,
p105,P105. ¿Considera que el gobierno de Jaime Rodriguez Calderon hizo un buen uso de los recursos públicos?,gobierno,categorica,
p106,"P106. La corrupción consiste en el abuso de poder para beneficio propio. En su opinión, en el estado de Nuevo León la corrupción es una práctica:",gobierno,categorica,
p107,P107. ¿Usted o algún conocido o familiar experimentó algún acto de corrupción en algún trámite o contacto con la autoridad durante los últimos 12 meses?,gobierno,numerica,
p108,"P108. En su opinión, en su municipio la corrupción es una práctica:",gobierno,categorica,
p109,P109. En su opinión: ¿cuál es el principal problema que enfrenta la ciudadanía PARA CONFIAR EN SU GOBIERNO?,gobierno,categorica,
p110,P110. Considera que (Nombre de ALCALDE/ALCALDESA):,gobierno,numerica,
p110_1,P110.1. ¿Fue un gobernante honesto(a)?,gobierno,categorica,
p110_2,P110.2. ¿Fue capaz de resolver los problemas del municipio?,gobierno,categorica,
p110_3,P110.3. ¿Contó con un equipo capacitado?,gobierno,categorica,
p110_4,P110.4. ¿Cumplió con sus promesas de campaña/compromisos?,gobierno,categorica,
p111,P111. Usted considera que (Nombre de ALCALDE/ALCALDESA saliente) tomó la mayoría de sus decisiones (elegir una de las opciones mencionadas),gobierno,categorica,
p112,"P112. En términos generales, ¿aprueba o desaprueba el trabajo que hizo (Nombre de ALCALDE/ALCALDESA saliente)?",gobierno,categorica,
p113,"P113. En términos generales, considera que hoy, comparado con hace tres años, este municipio:",gobierno,categorica,
p114,"P114. ¿Cuál debe ser la prioridad del ALCALDE ELECTO, en su gestión?",gobierno,categorica,
p115,P115. Considera que Jaime Rodríguez Calderón,gobierno,numerica,
p115_1,P115.1. ¿Fue un gobernante honesto(a)?,gobierno,categorica,
p115_2,P115.2. ¿Fue capaz de resolver los problemas del Estado?,gobierno,categorica,
p115_3,P115.3. ¿Contó con un equipo capacitado?,gobierno,categorica,
p115_4,P115.4. ¿Cumplió con sus promesas de campaña/compromisos?,gobierno,categorica,
p116,P116. Usted considera que Jaime Rodríguez Calderón tomó la mayoría de sus decisiones (elegir una):,gobierno,categorica,
